ID,Title,Authors,Source,Journal,Database,Type,Language,Publication year,Descriptor(s),Publication Country,Fulltext URL, Abstract,Entry Date,Volume number,Issue number,DOI,ISSN
"mdl-28725956","Non-Suicidal Self-Injury in Pediatric Bipolar Disorder: Clinical Correlates and Impact on Psychosocial Treatment Outcomes.","MacPherson, Heather A; Weinstein, Sally M; West, Amy E","J Abnorm Child Psychol;46(4): 857-870, 2018 05. ","J Abnorm Child Psychol","MEDLINE","article","en","2018","Transtorno Bipolar/psicologia; Comportamento Autodestrutivo/psicologia; Adolescente; Transtorno Bipolar/complicações; Transtorno Bipolar/terapia; Criança; Terapia Cognitivo-Comportamental; Terapia Familiar; Feminino; Humanos; Masculino; Comportamento Autodestrutivo/complicações; Comportamento Autodestrutivo/terapia; Resultado do Tratamento","US","https://dx.doi.org/10.1007/s10802-017-0331-4","Non-suicidal self-injury (NSSI) in childhood is not well documented, especially among youth with pediatric bipolar disorder (PBD). The current study evaluated prevalence and correlates of NSSI, and its impact on intervention response, in a randomized trial of Child- and Family-Focused Cognitive-Behavioral Therapy (CFF-CBT) versus Treatment As Usual (TAU), adjunctive to pharmacotherapy. This study included 72 children ages 7-13 (58% male) with PBD. NSSI and correlates were assessed at baseline; mood and psychiatric severity were measured longitudinally. NSSI was common: 31% endorsed NSSI behaviors; 10% reported thoughts of NSSI, in the absence of behaviors. Children engaging in NSSI reported higher depression, psychosis, suicidality, and hopelessness; lower self-esteem; and reduced family help-seeking in univariate analyses. In a multivariate logistic regression, high child depression and psychosis, and low family help-seeking, remained significantly associated with baseline NSSI. In mixed-effects regression models, presence of NSSI at baseline did not influence the response of depressive symptoms to treatment. Children who endorsed NSSI experienced steeper response trajectories for psychiatric severity, regardless of treatment group. Youth who denied NSSI showed poorer response to TAU for manic symptoms; mania trajectories in CFF-CBT were similar across youth. Thus, NSSI in PBD is common and associated with impairment. As children might engage in NSSI for different reasons, the function of NSSI should be considered in treatment. Since children without NSSI fared worse in TAU, it may be important to ensure that youth with PBD receive structured, intensive interventions. CFF-CBT was efficacious regardless of NSSI, and thus shows promise for high-risk children with PBD.",20170721,46,4,10.1007/s10802-017-0331-4,1573-2835
"mdl-28857347","Improving functional outcome in bipolar disorder: A pilot study on metacognitive training.","Haffner, Paula; Quinlivan, Esther; Fiebig, Jana; Sondergeld, Lene-Marie; Strasser, Elisa Sophie; Adli, Mazda; Moritz, Steffen; Stamm, Thomas Josef","Clin Psychol Psychother;25(1): 50-58, 2018 Jan. ","Clin Psychol Psychother","MEDLINE","article","en","2018","Transtorno Bipolar/psicologia; Transtorno Bipolar/terapia; Terapia Cognitivo-Comportamental/métodos; Metacognição; Psicoterapia de Grupo/métodos; Estudos de Viabilidade; Feminino; Humanos; Masculino; Pessoa de Meia-Idade; Satisfação do Paciente; Projetos Piloto; Autoimagem; Resultado do Tratamento","GB","https://dx.doi.org/10.1002/cpp.2124","BACKGROUND: Effective group psychological interventions in bipolar disorder are rare. In this study, we present metacognitive training (MCT) for bipolar disorder-an adaption of a group intervention that has proven effective in other severe psychiatric disorders. MCT is a structured, interactive approach that addresses cognitive biases, social cognition, and self-esteem. In this pilot study, we investigated psychosocial functioning as primary outcome measure, as well as the feasibility of MCT and its acceptance among bipolar patients. METHODS: Thirty-four outpatients with bipolar disorder were recruited. Inclusion criteria were euthymia and psychosocial functioning with a score >11 assessed by the Functional Assessment Short Test. The subjects received eight weekly MCT sessions. Before and after the intervention, psychosocial functioning, quality of life (QoL), and patient views were assessed. RESULTS: Patients improved significantly in global psychosocial functioning, with a large effect size from baseline to post-treatment. Over the intervention period, patient QoL improved significantly in terms of their physical health, however not for other QoL subdomains. Treatment adherence was 80%, and patients appraisal of the training was positive. LIMITATIONS: As this study lacks a control group, it is not possible to ascertain whether the positive treatment effects are attributable to MCT. Additionally, it is unclear whether gains in psychosocial functioning would have been maintained long term. CONCLUSIONS: This pilot trial conclusively shows that MCT is feasible and provides preliminary evidence for both the acceptance and efficacy of MCT. Further studies with larger samples and control condition will be necessary to build on these findings.",20170901,25,1,10.1002/cpp.2124,1099-0879
"mdl-28914726","Proinflammatory Cytokines, Mood, and Sleep in Interepisode Bipolar Disorder and Insomnia: A Pilot Study With Implications for Psychosocial Interventions.","Dolsen, Michael R; Soehner, Adriane M; Harvey, Allison G","Psychosom Med;80(1): 87-94, 2018 01. ","Psychosom Med","MEDLINE","article","en","2018","Afeto/fisiologia; Transtorno Bipolar/sangue; Inflamação/sangue; Interleucina-6/sangue; Distúrbios do Início e da Manutenção do Sono/sangue; Sono/fisiologia; Adulto; Transtorno Bipolar/fisiopatologia; Transtorno Bipolar/terapia; Terapia Cognitivo-Comportamental; Feminino; Humanos; Masculino; Pessoa de Meia-Idade; Projetos Piloto; Distúrbios do Início e da Manutenção do Sono/fisiopatologia; Distúrbios do Início e da Manutenção do Sono/terapia","US","https://dx.doi.org/10.1097/PSY.0000000000000529","OBJECTIVE: Proinflammatory cytokines are associated with bipolar disorder (BD), but less is known about how cytokines function during the interepisode period. This study examined cytokines, mood symptoms, and sleep in individuals with interepisode BD with complaints of insomnia. We also investigated the effects of a BD-specific modification of cognitive behavior therapy for insomnia (CBTI-BP) on cytokine levels. METHODS: Twenty-two adults with interepisode BD type I and insomnia were drawn from a subset of a National Institute of Mental Health funded study. Participants were randomly allocated to CBTI-BP (n = 11) or psychoeducation (n = 11). Participants completed a sleep diary, rated self-report measures of mania and depression, and provided samples assayed for interleukin (IL)-6 and tumor necrosis factor soluble receptor 2 (sTNF-R2). RESULTS: IL-6 was associated with mania symptoms (rs = 0.44, p = .041) and total sleep time (rs = -0.49, p = .026). IL-6 was related to depression symptoms at the trend level (rs = 0.43, p = .052). sTNF-R2 was not significantly related to mood or sleep measures. From pretreatment to posttreatment, CBTI-BP compared with psychoeducation was associated with a nonsignificant, large effect size decrease in IL-6 (z = -1.61, p = .13, d = -0.78) and a nonsignificant, small-medium effect size decrease in sTNF-R2 (z = -0.79, p = .44, d = -0.38). CONCLUSIONS: These findings provide preliminary evidence that IL-6 is related to mania symptoms and shorter total sleep time in interepisode BD. A treatment that targets sleep in BD could potentially decrease IL-6 although replication is warranted.",20170916,80,1,10.1097/PSY.0000000000000529,1534-7796
"mdl-28029354","[IDEM-depression: Characteristics and evaluation of an open group that combines psychoeducation and cognitive-behavior therapy]./ IDEM-dépression : caractéristiques et évaluation d'un groupe ouvert combinant psycho-éducation et thérapie cognitivo-comportementale.","Weiner, L; Garcia-Krafes, E; Garcia, S; Berthomier, C; Morali, A; Metzger, J-Y; Weibel, S; Javelot, H; Bertschy, G","Encephale;44(2): 141-147, 2018 Apr. ","Encephale","MEDLINE","article","fr","2018","Terapia Cognitivo-Comportamental/métodos; Transtorno Depressivo/terapia; Educação de Pacientes como Assunto/métodos; Adulto; Idoso; Transtorno Bipolar/psicologia; Transtorno Bipolar/terapia; Terapia Combinada; Feminino; Humanos; Pacientes Internados; Masculino; Pessoa de Meia-Idade; Atenção Plena/métodos; Pacientes Ambulatoriais; Satisfação do Paciente; Escalas de Graduação Psiquiátrica; Inquéritos e Questionários; Adulto Jovem","FR","https://dx.doi.org/10.1016/j.encep.2016.09.004","INTRODUCTION: Depression is a highly prevalent mental illness that is associated with high rates of morbidity and functional impairment. At the psychiatric unit of the University Hospital of Strasbourg, France, we have developed an open group that combines psychoeducation and cognitive-behavior therapy (CBT), the information, discovery, exchange and mobilization for depression group (IDEM-depression). IDEM-depression is composed of 17 thematic, structured, and independent sessions, which address different aspects of depression (i.e., rumination, pharmacological treatments). Because of its flexible format, patients with varying degrees of depression severity (from remission up to severe depressive symptoms) and whose depression might be bipolar or unipolar, are able to participate in the group. Thus, the group is well suited to a large number of patients with major depression. In the present study we aimed at describing the IDEM-depression group and presenting results regarding patients overall satisfaction, assessed via two self-report questionnaires (the Client Satisfaction Questionnaire, the CSQ-8, and the IDEM ad hoc questionnaire), as well as its effect on mood following each session assessed via a visual analog scale (VAS) ranging from 0 up to 100. METHOD: Sixty-five patients participated in 50 sessions of the IDEM-depression group in two hospitals in Alsace. 61% of the patients had bipolar disorder, and 41% of them were inpatients. Sessions took place on a weekly basis, lasted 2hours and were proposed by a CBT-trained clinical psychologist. Patients were asked to fill-out the VAS at the beginning and at the end of each session. Moreover, they were asked to fill-out the CSQ-8 and the IDEM ad hoc questionnaire when they left the group. Other than one session (yoga and mindfulness), all the sessions (16 out of 17) were structured on a Powerpoint© presentation. During the first hour information was given regarding the topic (i.e., rumination), and a shared CBT conceptualization of the topic was formulated by the participants and the psychologist. For most sessions, the first hour was therefore communication and information-based, whereas during the second hour participants were asked to participate in in-session behavioral experiments and/or to evaluate specific aspects of their behavior (thoughts, emotions, activity, mindful behavior) during the last few days. The therapist manual and the slides for each session are available via e-mail to the first author. RESULTS: Regarding the results, self-reported mood on the VAS was compared between the onset (225 VAS) and the end (225 VAS) of each session. Overall, results suggest that self-reported mood is significantly improved following the participation in sessions (t=-5. 87, P<0.001). Moreover, mean results on the CSQ-8 suggest that patients are highly satisfied with the group (M=24.46, SD=6.42). Among them, 82% reported a moderate-high satisfaction with the group. On the IDEM ad hoc questionnaire, patients reported an overall high satisfaction level regarding (i) the content of sessions, (ii) the duration of sessions, (iii) the frequency of sessions, (iv) how much they felt they could express themselves during sessions. In the qualitative comments of this questionnaire, patients reported that the group helped them to gain an understanding of the mechanisms involved in depression; to feel less isolated and guilty; and to learn about specific psychotherapeutic tools (i.e., mindfulness) and to try to implement them. CONCLUSION: Our results suggest that an IDEM-depression group is well suited to a wide-array of clinical pictures associated with depression (varying severity, bipolar or unipolar, inpatients and outpatients). This is probably due to its open-group format which is particularly well-adapted to the dynamic symptomatology associated with major depression, and may stimulate decentering in patients who have different levels of severity of symptoms but participate in the same session. Moreover, its impact on mood improvement, and the high satisfaction level reported by patients, seem to be related to its CBT and psychoeducation-based content on the one hand, which has shown its efficacy in depression. On the other hand, IDEMs structured open-group format might have also contributed to the improvement in mood and the overall good satisfaction reported by patients, through the social support provided by the group, improved feeling of self-efficiency, and its effect on stigmatization. Thus, IDEM-depression group is an efficacious, flexible, low-cost, and easy to implement (in different clinical settings) psychotherapeutic option for major depression.",20161229,44,2,10.1016/j.encep.2016.09.004,0013-7006
"mdl-28442424","Thioredoxin is not a marker for treatment-resistance depression but associated with cognitive function: An rTMS study.","Aydin, Efruz Pirdogan; Genç, Abdullah; Dalkiran, Mihriban; Uyar, Ece Türkyilmaz; Deniz, Ipek; Özer, Ömer Akil; Karamustafalioglu, Kayihan Oguz","Prog Neuropsychopharmacol Biol Psychiatry;80(Pt C): 322-328, 2018 Jan 03. ","Prog Neuropsychopharmacol Biol Psychiatry","MEDLINE","article","en","2018","Cognição/fisiologia; Transtorno Depressivo Resistente a Tratamento/terapia; Tiorredoxinas/sangue; Estimulação Magnética Transcraniana; Adulto; Biomarcadores/sangue; Transtorno Depressivo Resistente a Tratamento/sangue; Feminino; Humanos; Masculino; Pessoa de Meia-Idade; Testes Neuropsicológicos; Córtex Pré-Frontal/fisiologia; Escalas de Graduação Psiquiátrica; Resultado do Tratamento","GB","https://dx.doi.org/10.1016/j.pnpbp.2017.04.025","Elevated oxidative stress is known to play an important role in development of depression and cognitive dysfunction. To date, thioredoxin (TRX), an antioxidant protein, has been investigated as a marker for psychiatric disorders such as schizophrenia, bipolar disorder and autism but its relationship with depression is yet to be unknown. The aim of this study is to detect the TRX levels in patients with treatment-resistant depression (TRD), analyse the effect of rTMS (repetitive transcranial magnetic stimulation) application on TRX levels and display the relationship of TRX with cognitive areas. This study included 27 treatment-resistant unipolar depression patients and 29 healthy subjects. Patients were evaluated by Hamilton Depression Scale (HDRS), Hamilton Anxiety Scale (HARS) and Montreal Cognitive Assessment (MoCA) before and after rTMS application. 23 of TRD patients were applied high-frequency rTMS over left DLPFC for 2 to 4weeks and plasma TRX levels of patients and healthy subjects were measured. No significant difference was determined between the TRX levels of patients and healthy subjects (p>0.05). After rTMS application there were significant decrease in severity of depression (p<0.001) and anxiety (p<0.001), and explicit improvement in cognitive areas (delayed memory, visual-spatial/executive abilities and language points) (all p<0.05). No difference was detected in TRX levels of the patients after rTMS application (p>0.005). High language scores of the patients were found to be associated with high TRX levels (p<0.005). Our study indicates that TRX levels cannot be used as a marker for TRD or rTMS treatment in TRD. In spite of this TRX levels have a positive correlation with language functions of the patients of TRD. More extensive studies are required to clarify the mechanism of action of TRX and the effect of TRX on cognitive functions.",20170427,80,Pt C,10.1016/j.pnpbp.2017.04.025,1878-4216
"mdl-29179141","A study of the real-world effectiveness of group psychoeducation for bipolar disorders: Is change in illness perception a key mediator of benefit?","Etain, B; Scott, J; Cochet, B; Bellivier, F; Boudebesse, C; Drancourt, N; Lauer, S; Dusser, I; Yon, L; Fouques, D; Richard, J R; Lajnef, M; Leboyer, M; Henry, C","J Affect Disord;227: 713-720, 2018 02. ","J Affect Disord","MEDLINE","article","en","2018","Terapia Cognitivo-Comportamental/métodos; Adesão à Medicação/psicologia; Cooperação do Paciente/psicologia; Educação de Pacientes como Assunto/métodos; Adulto; Transtorno Bipolar/psicologia; Transtorno Bipolar/terapia; Feminino; Humanos; Masculino; Pessoa de Meia-Idade; Recidiva; Prevenção Secundária; Resultado do Tratamento","NL","https://dx.doi.org/10.1016/j.jad.2017.11.072","BACKGROUND: Findings from efficacy trials of group psychoeducation (PE) for bipolar disorders (BD) led to its inclusion in evidence-based guidelines as a first-line mandatory treatment. However, pragmatic trials and observational studies are needed to determine its real-world effectiveness, impact on outcomes deemed important to patients and to clarify potential mediators of any benefits. METHODS: Individuals with BD were offered the opportunity to participate in 20h of PE and asked to complete pre- and post-intervention ratings of symptoms, knowledge about BD, medication adherence, and illness perception. A priori, two key patient outcomes were identified (social functioning and self-esteem); sample attrition due to dropout or relapse was recorded. RESULTS: Of 156 individuals who completed the pre-PE assessments, 103 completed the program and post-PE assessments. Only 4 of 53 dropouts were associated with BD relapse. Post-intervention, the PE completers demonstrated a statistically significant improvement in social functioning (p = 0.003, Effect Size (ES) = 0.26) and a trend towards improved self-esteem (ES = 0.14). Whilst there were significant changes in medication adherence (p = 0.002, ES = 0.28), knowledge of BD (p < 0.001, ES = 1.20), and illness perception (p < 0.001, ES = -0.37), mediational analysis demonstrated that only change in illness perception was associated to change in functioning (p=0.03) with no contribution from changes in knowledge of BD or medication adherence. CONCLUSIONS: In real-world settings, over 60% individuals completed 10-session course of PE. After controlling for demography and baseline clinical state, change in illness perception, rather than change in knowledge or medication adherence, emerged as a potential mediator of some benefits of PE.",20171128,227,,10.1016/j.jad.2017.11.072,1573-2517
"mdl-29149755","A randomized clinical trial of adjunctive ketamine anesthesia in electro-convulsive therapy for depression.","Zhang, Minling; Rosenheck, Robert; Lin, Xiaoming; Li, Qirong; Zhou, Yanling; Xiao, Yunshan; Huang, Xiong; Fan, Ni; He, Hongbo","J Affect Disord;227: 372-378, 2018 02. ","J Affect Disord","MEDLINE","article","en","2018","Antidepressivos/uso terapêutico; Transtorno Bipolar/tratamento farmacológico; Transtorno Bipolar/terapia; Transtorno Depressivo Maior/terapia; Eletroconvulsoterapia; Ketamina/uso terapêutico; Propofol/uso terapêutico; Adulto; Anestésicos Dissociativos/uso terapêutico; Anestésicos Intravenosos/uso terapêutico; Terapia Combinada/métodos; Transtorno Depressivo Maior/tratamento farmacológico; Feminino; Humanos; Masculino; Testes Neuropsicológicos; Escalas de Graduação Psiquiátrica; Resultado do Tratamento; Adulto Jovem","NL","https://dx.doi.org/10.1016/j.jad.2017.11.034","BACKGROUND: Electroconvulsive therapy (ECT) is a rapid acting and effective treatment for both major depressive disorder (MDD) and bipolar disorder (BP). Both propofol and ketamine are commonly used anesthetic agents but recent clinical studies suggest that ketamine has rapid-acting antidepressant properties, itself, at sub-anesthetic doses. METHODS: A total of 77 inpatients (41 MDD and 36 BP) were randomly assigned to receive ECT with propofol (1mg/kg) anesthesia or with ketamine (0.5mg/kg) plus propofol (0.5mg/kg). Depressive symptoms were assessed with the 24-item Hamilton Depression Rating Scale (HAMD-24) and Montgomery-Asberg Rating Scale (MADRS), before and after 1, 2, 4, and 6 ECT treatments, and 1-4 weeks following the last treatment. The MATRICS Consensus Cognitive Battery (MCCB) was evaluated at baseline,after the sixth ECT, and 1-4 weeks following the final ECT. Adverse effects were assessed at baseline and 4 weeks after the last treatment. RESULTS: There were no significant differences in depressive symptoms, MCCB performance, or adverse effects between the treatment groups at any time. The electrical dose required to generate seizures in the ketamine plus propofol group was lower than that of the propofol only group at every time point. The seizure energy index and seizure duration in the ketamine plus propofol group was higher and longer than those in the propofol only group. LIMITATIONS: The diagnoses of MDD and BP were unevenly distributed across treatment groups. CONCLUSIONS: Ketamine plus propofol anesthesia in the ECT treatment of MDD and BP was not superior on any measure to propofol alone.",20171118,227,,10.1016/j.jad.2017.11.034,1573-2517
"mdl-29108526","Stabilising sleep for patients admitted at acute crisis to a psychiatric hospital (OWLS): an assessor-blind pilot randomised controlled trial.","Sheaves, Bryony; Freeman, Daniel; Isham, Louise; McInerney, Josephine; Nickless, Alecia; Yu, Ly-Mee; Rek, Stephanie; Bradley, Jonathan; Reeve, Sarah; Attard, Caroline; Espie, Colin A; Foster, Russell; Wirz-Justice, Anna; Chadwick, Eleanor; Barrera, Alvaro","Psychol Med;48(10): 1694-1704, 2018 07. ","Psychol Med","MEDLINE","article","en","2018","Ritmo Circadiano/fisiologia; Terapia Cognitivo-Comportamental/métodos; Transtornos Mentais/terapia; Avaliação de Resultados em Cuidados de Saúde; Fototerapia/métodos; Transtornos do Sono-Vigília/terapia; Adulto; Estudos de Viabilidade; Feminino; Hospitais Psiquiátricos; Humanos; Masculino; Pessoa de Meia-Idade; Projetos Piloto; Método Simples-Cego","GB","https://dx.doi.org/10.1017/S0033291717003191","BACKGROUND: When patients are admitted onto psychiatric wards, sleep problems are highly prevalent. We carried out the first trial testing a psychological sleep treatment at acute admission (Oxford Ward sLeep Solution, OWLS). METHODS: This assessor-blind parallel-group pilot trial randomised patients to receive sleep treatment at acute crisis [STAC, plus standard care (SC)], or SC alone (1 : 1). STAC included cognitive-behavioural therapy (CBT) for insomnia, sleep monitoring and light/dark exposure for circadian entrainment, delivered over 2 weeks. Assessments took place at 0, 2, 4 and 12 weeks. Feasibility outcomes assessed recruitment, retention of participants and uptake of the therapy. Primary efficacy outcomes were the Insomnia Severity Index and Warwick-Edinburgh Mental Wellbeing Scale at week 2. Analyses were intention-to-treat, estimating treatment effect with 95% confidence intervals. RESULTS: Between October 2015 and July 2016, 40 participants were recruited (from 43 assessed eligible). All participants offered STAC completed treatment (mean sessions received = 8.6, s.d. = 1.5). All participants completed the primary end point. Compared with SC, STAC led to large effect size (ES) reductions in insomnia at week 2 (adjusted mean difference -4.6, 95% CI -7.7 to -1.4, ES -0.9), a small improvement in psychological wellbeing (adjusted mean difference 3.7, 95% CI -2.8 to 10.1, ES 0.3) and patients were discharged 8.5 days earlier. One patient in the STAC group had an adverse event, unrelated to participation. CONCLUSIONS: In this challenging environment for research, the trial was feasible. Therapy uptake was high. STAC may be a highly effective treatment for sleep disturbance on wards with potential wider benefits on wellbeing and admission length.",20171108,48,10,10.1017/S0033291717003191,1469-8978
"mdl-29044718","Child- and Family-Focused Cognitive Behavioral Therapy for Pediatric Bipolar Disorder: Applications for Suicide Prevention.","Weinstein, Sally M; Cruz, Rick A; Isaia, Ashley R; Peters, Amy T; West, Amy E","Suicide Life Threat Behav;48(6): 797-811, 2018 12. ","Suicide Life Threat Behav","MEDLINE","article","en","2018","Transtorno Bipolar; Terapia Cognitivo-Comportamental/métodos; Terapia Familiar/métodos; Ideação Suicida; Suicídio; Adolescente; Transtorno Bipolar/complicações; Transtorno Bipolar/psicologia; Transtorno Bipolar/terapia; Criança; Manual Diagnóstico e Estatístico de Transtornos Mentais; Feminino; Humanos; Masculino; Psicoterapia/métodos; Suicídio/prevenção &amp; controle; Suicídio/psicologia; Resultado do Tratamento","GB","https://dx.doi.org/10.1111/sltb.12416","Despite high rates of suicide ideation (SI) and behavior in youth with pediatric bipolar disorder (PBD), little work has examined how psychosocial interventions impact suicidality among this high-risk group. The current study examined SI outcomes in a randomized clinical trial comparing Child- and Family-Focused Cognitive Behavioral Therapy (CFF-CBT) for PBD versus psychotherapy treatment-as-usual (TAU). Although not designed for suicide prevention, CFF-CBT addresses child and family factors related to suicide risk and thus was hypothesized to generalize to the treatment of suicidality. Participants included 71 youth aged 7-13 years (M = 9.17, SD = 1.60) with DSM-IV-TR bipolar I, II, or not otherwise specified randomly assigned, with parent(s), to receive CFF-CBT or TAU. Both treatments consisted of 12 weekly and 6 monthly booster sessions. Suicide ideation was assessed via clinician interview at baseline, posttreatment, and 6-month follow-up. Results indicated that SI was prevalent pretreatment: 39% of youth reported current suicidal thoughts. All youth significantly improved in the likelihood and intensity of ideation across treatment, but group differences were not significant. Thus, findings suggest that early intervention for these high-risk youth may reduce SI, and at this stage of suicidality, youth may be responsive to even nonspecialized treatment.",20171019,48,6,10.1111/sltb.12416,1943-278X
"mdl-29222850","Exploratory study of imagery rescripting without focusing on early traumatic memories for major depressive disorder.","Yamada, Fuminori; Hiramatsu, Yoichi; Murata, Tomokazu; Seki, Yoichi; Yokoo, Mizue; Noguchi, Remi; Shibuya, Takayuki; Tanaka, Mari; Takanashi, Rieko; Shimizu, Eiji","Psychol Psychother;91(3): 345-362, 2018 09. ","Psychol Psychother","MEDLINE","article","en","2018","Terapia Cognitivo-Comportamental/métodos; Transtorno Depressivo Maior/terapia; Imagens, Psicoterapia/métodos; Adulto; Idoso; Feminino; Humanos; Masculino; Pessoa de Meia-Idade; Escalas de Graduação Psiquiátrica; Resultado do Tratamento","GB","https://dx.doi.org/10.1111/papt.12164","BACKGROUND: Mental imagery has a more powerful impact on our emotions than thinking in words about the same material. Treating intrusive images with imagery rescripting (IR) has been reported for various disorders, including post-traumatic stress disorder, social anxiety disorder, and bipolar disorder. There has been less research about IR as a major depressive disorder (MDD). AIMS: We examined whether IR without focusing on early traumatic memories is effective in MDD. METHODS: We enrolled 19 participants with MDD, who received 15 weekly sessions of full CBT, including two sessions for IR of intrusive images and, separately, for memory rescripting. Before and after the IR intervention, participants were asked to rate the intrusive images they experienced against, an intrusion index that included difficulty (interference with daily life), uncontrollability, distress caused by the negative image, and vividness. We recorded the contents of each participant's negative and positive imagery to classify these. RESULTS: The intrusion index scores decreased after the IR sessions. Negative images experienced by the participants while in a depressive mood were categorized into three different types: blame, social exclusion, and loneliness. The rescripted positive images were categorized into good relations and worthy self (competent self). CONCLUSIONS: These results suggest that IR of intrusive images without focusing on early traumatic memories may usefully be incorporated into routine CBT sessions for MDD.",20171210,91,3,10.1111/papt.12164,2044-8341
"mdl-29220679","Interaction between pre-treatment drug use and heterogeneity of psychiatric diagnosis predicts outcomes in outpatients with co-occurring disorders.","Oluwoye, Oladunni; Hirchak, Katherine; Leickly, Emily; Skalisky, Jordan; McPherson, Sterling; Srebnik, Debra; Roll, John M; Ries, Richard K; McDonell, Michael G","Psychiatry Res;260: 233-235, 2018 02. ","Psychiatry Res","MEDLINE","article","en","2018","Terapia Comportamental/métodos; Transtorno Bipolar/terapia; Estimulantes do Sistema Nervoso Central; Transtorno Depressivo Maior/terapia; Avaliação de Resultados em Cuidados de Saúde; Esquizofrenia/terapia; Transtornos Relacionados ao Uso de Substâncias/terapia; Adulto; Transtorno Bipolar/epidemiologia; Estimulantes do Sistema Nervoso Central/urina; Comorbidade; Transtorno Depressivo Maior/epidemiologia; Feminino; Humanos; Masculino; Pessoa de Meia-Idade; Esquizofrenia/epidemiologia; Transtornos Relacionados ao Uso de Substâncias/epidemiologia","IE","https://dx.doi.org/10.1016/j.psychres.2017.11.070","We examined whether the interaction of baseline stimulant use, assessed by urine drug tests, and type of serious mental illness (SMI) diagnosis predicted stimulant use in a trial of contingency management (CM). The interaction between baseline stimulant use and SMI diagnoses was significant in the overall sample (p=0.002) when controlling for the main effects of treatment condition, baseline stimulant use, and SMI diagnosis. Similar results were also found within the CM sample. Individuals with bipolar disorder were more or less likely, depending on their baseline stimulant-drug test results, to use stimulants during treatment compared to those with other SMI diagnoses.",20171209,260,,10.1016/j.psychres.2017.11.070,1872-7123
"mdl-29149717","Usefulness of the Montreal Cognitive Assessment (MoCA) to monitor cognitive impairments in depressed patients receiving electroconvulsive therapy.","Moirand, Rémi; Galvao, Filipe; Lecompte, Maxime; Poulet, Emmanuel; Haesebaert, Frédéric; Brunelin, Jerome","Psychiatry Res;259: 476-481, 2018 01. ","Psychiatry Res","MEDLINE","article","en","2018","Disfunção Cognitiva/diagnóstico; Disfunção Cognitiva/terapia; Transtorno Depressivo Maior/diagnóstico; Transtorno Depressivo Maior/terapia; Eletroconvulsoterapia/tendências; Escalas de Graduação Psiquiátrica/normas; Adolescente; Adulto; Idoso; Disfunção Cognitiva/psicologia; Transtorno Depressivo Maior/psicologia; Eletroconvulsoterapia/psicologia; Feminino; Seguimentos; Humanos; Masculino; Testes de Estado Mental e Demência/normas; Pessoa de Meia-Idade; Testes Neuropsicológicos/normas; Adulto Jovem","IE","https://dx.doi.org/10.1016/j.psychres.2017.11.022","There is a lack of consensual tools for evaluating the cognitive side-effects in patients with depression who are treated with electroconvulsive therapy (ECT). The objective of this study was to evaluate the usefulness of the Montreal Cognitive Assessment (MoCA) and of the Mini Mental State Examination (MMSE) to monitor cognitive changes in patients with depression receiving ECT. Cognitive functioning was assessed prospectively in 48 patients with unipolar or bipolar depression before and after an ECT course. ECT-induced cognitive impairments were defined as a decrease of at least 2 points on the MoCA and the MMSE total scores and of at least one point on each sub-score. At baseline, the MoCA detected a higher number of patients with cognitive deficits than the MMSE. After ECT, the MoCA and MMSE total scores were comparable, but the MoCA detected more impairments than did the MMSE for visuo-executive, memory and language subscores. ECT significantly decreased the language capacities but improved the visuo-executive and abstraction performances measured by MoCA. In remitters, the MoCA total score and visuo-executive and abstraction performances were significantly improved, while other cognitive functions remained unchanged. The MoCA is a useful screening tool for monitoring cognitive functioning during an ECT course.",20171118,259,,10.1016/j.psychres.2017.11.022,1872-7123
