index	name	author	DOI	base	0=nao 1=sim
103	[Psychotherapeutic and psychosocial interventions and endophenotypes in bipolar disorders]./ Interventions psychothérapeutiques et psychosociales et endophénotypes dans les troubles bipolaires.	Correard, N; Elissalde, S N; Azorin, J-M; Fakra, E; Belzeaux, R	10.1016/S0013-7006(12)70088-X	bvs	
104	Cognitive behaviour therapy and supportive therapy for bipolar disorders: relapse rates for treatment period and 2-year follow-up.	Meyer, T D; Hautzinger, M	10.1017/S0033291711002522	bvs	
105	Mindfulness-based cognitive therapy for nonremitted patients with bipolar disorder.	Deckersbach, Thilo; Hölzel, Britta K; Eisner, Lori R; Stange, Jonathan P; Peckham, Andrew D; Dougherty, Darin D; Rauch, Scott L; Lazar, Sara; Nierenberg, Andrew A	10.1111/j.1755-5949.2011.00236.x	bvs	
106	Think Effectively About Mood Swings (TEAMS): a case series of cognitive-behavioural therapy for bipolar disorders.	Searson, Ruth; Mansell, Warren; Lowens, Ian; Tai, Sara	10.1016/j.jbtep.2011.10.001	bvs	
107	Mindfulness-based cognitive therapy for bipolar disorder:  effects on cognitive functioning.	Stange, Jonathan P; Eisner, Lori R; Hölzel, Britta K; Peckham, Andrew D; Dougherty, Darin D; Rauch, Scott L; Nierenberg, Andrew A; Lazar, Sara; Deckersbach, Thilo	10.1097/01.pra.0000407964.34604.03	bvs	
108	Integrated motivational interviewing and cognitive-behavioural therapy for bipolar disorder with comorbid substance use.	Jones, Steven H; Barrowclough, Christine; Allott, Rory; Day, Christine; Earnshaw, Paul; Wilson, Ian	10.1002/cpp.783	bvs	
109	The effectiveness of cognitive behavioral group therapy in treating bipolar disorder: a randomized controlled study.	Costa, Rafael Thomaz da; Cheniaux, Elie; Rosaes, Pedro Augusto Legnani; Carvalho, Marcele Regine de; Freire, Rafael Christophe da Rocha; Versiani, Márcio; Rangé, Bernard Pimentel; Nardi, Antonio Egidio		bvs	
110	[Psychoeducational group and bipolar affective disorder: a reflection on the asylum and psychosocial models]./ Grupo de psicoeducação no transtorno afetivo bipolar: reflexão sobre o modo asilar e o modo psicossocial.	Menezes, Sarita Lopes; de Mello E Souza, Maria Conceição Bernardo		bvs	
111	Grupo de psicoeducação no transtorno afetivo bipolar: reflexão sobre o modo asilar e o modo psicossocial/ Psychoeducational group and bipolar affective disorder: a reflection on the asylum and psychosocial models/ Grupo de psicoeducación en el transtorno afectivo bipolar: reflexión sobre el modelo asilar y el modelo psicosocial	Menezes, Sarita Lopes; Mello e Souza, Maria Conceição Bernardo de	10.1590/S0080-62342011000400029	bvs	
112	A randomized controlled trial of cognitive behavioral group therapy for bipolar disorder.	Gomes, B C; Abreu, L N; Brietzke, E; Caetano, S C; Kleinman, A; Nery, F G; Lafer, B	10.1159/000320738	bvs	
113	Sex-specific cortisol levels in bipolar disorder and schizophrenia during mental challenge--relationship to clinical characteristics and medication.	Steen, Nils Eiel; Lorentzen, Steinar; Barrett, Elizabeth A; Lagerberg, Trine V; Hope, Sigrun; Larsson, Sara; Berg, Akiah O; Agartz, Ingrid; Melle, Ingrid; Berg, Jens P; Andreassen, Ole A	10.1016/j.pnpbp.2011.03.008	bvs	
114	Treating nonspecific anxiety and anxiety disorders in patients with bipolar disorder: a review.	Rakofsky, Jeffrey J; Dunlop, Boadie W	10.4088/JCP.09r05815gre	bvs	
115	Self-management strategies used by 'high functioning' individuals with bipolar disorder: from research to clinical practice.	Murray, Greg; Suto, Melinda; Hole, Rachelle; Hale, Sandra; Amari, Erica; Michalak, Erin E	10.1002/cpp.710	bvs	
116	Which psychosocial interventions in bipolar depression?	Scott, J; Etain, B	10.1016/S0013-7006(11)70056-2	bvs	
117	Psychotherapies for comorbid anxiety in bipolar spectrum disorders.	Provencher, Martin D; Hawke, Lisa D; Thienot, Emmanuelle	10.1016/j.jad.2010.10.040	bvs	
118	Estudo comparativo da adição da terapia cognitivo comportamental e da psicoeducação ao tratamento padrão do transtorno bipolar em idosos/ Comparative study of the addition of cognitive behavioral therapy and psychoeducation to standard treatment of bipolar disorder in the elderly	Oliveira, Roseli Lage de		bvs	
119	An approach to the patient with dysregulated mood: major depression and bipolar disorder.	Querques, John; Kontos, Nicholas	10.1016/j.mcna.2010.08.011	bvs	
120	Cognitive impairment in bipolar disorder: an overview.	Manove, Emily; Levy, Boaz	10.3810/pgm.2010.07.2170	bvs	
121	Cognitive-behavioral therapy for depression in bipolar disorder: a meta-analysis.	Gregory, Virgil L	10.1080/15433710903176088	bvs	
122	Cognitive-behavioral therapy for bipolar disorder.	da Costa, Rafael Thomaz; Rangé, Bernard Pimentel; Malagris, Lucia Emmanoel Novaes; Sardinha, Aline; de Carvalho, Marcele Regine; Nardi, Antonio Egidio	10.1586/ern.10.75	bvs	
123	Mindfulness-based cognitive therapy for bipolar disorder: a feasibility trial.	Weber, B; Jermann, F; Gex-Fabry, M; Nallet, A; Bondolfi, G; Aubry, J-M	10.1016/j.eurpsy.2010.03.007	bvs	
124	The clinical significance of creativity in bipolar disorder.	Murray, Greg; Johnson, Sheri L	10.1016/j.cpr.2010.05.006	bvs	
125	How effective is a psychological intervention program for patients with refractory bipolar disorder? A randomized controlled trial.	Isasi, Ana González; Echeburúa, Enrique; Limiñana, José María; González-Pinto, Ana	10.1016/j.jad.2010.03.026	bvs	
126	Disorder-specific psychosocial interventions for bipolar disorder--a systematic review of the evidence for mental health nursing practice.	Crowe, Marie; Whitehead, Lisa; Wilson, Lynere; Carlyle, Dave; O'Brien, Anthony; Inder, Maree; Joyce, Peter	10.1016/j.ijnurstu.2010.02.012	bvs	
127	Long-term efficacy of a psychological intervention program for patients with refractory bipolar disorder: a pilot study.	González-Isasi, Ana; Echeburúa, Enrique; Mosquera, Fernando; Ibáñez, Berta; Aizpuru, Felipe; González-Pinto, Ana	10.1016/j.psychres.2008.06.047	bvs	
128	The efficacy of cognitive-behavioral therapy in bipolar disorder: a quantitative meta-analysis.	Szentagotai, Aurora; David, Daniel	10.4088/JCP.08r04559yel	bvs	
129	RESEARCH: Cognitive rehabilitation for bipolar disorder: An open trial for employed patients with residual depressive symptoms.	Deckersbach, Thilo; Nierenberg, Andrew A; Kessler, Ronald; Lund, Hannah G; Ametrano, Rebecca M; Sachs, Gary; Rauch, Scott L; Dougherty, Darin	10.1111/j.1755-5949.2009.00110.x	bvs	
130	The process of recovery from bipolar I disorder: a qualitative analysis of personal accounts in relation to an integrative cognitive model.	Mansell, Warren; Powell, Seth; Pedley, Rebecca; Thomas, Nia; Jones, Sarah Amelia	10.1348/014466509X451447	bvs	
131	Cognitive behavioural therapy for major psychiatric disorder: does it really work? A meta-analytical review of well-controlled trials.	Lynch, D; Laws, K R; McKenna, P J	10.1017/S003329170900590X	bvs	
132	Enhancing outcomes in patients with bipolar disorder: results from the Bipolar Disorder Center for Pennsylvanians Study.	Fagiolini, Andrea; Frank, Ellen; Axelson, David A; Birmaher, Boris; Cheng, Yu; Curet, David E; Friedman, Edward S; Gildengers, Ariel G; Goldstein, Tina; Grochocinski, Victoria J; Houck, Patricia R; Stofko, Mary G; Thase, Michael E; Thompson, Wesley K; Turkin, Scott R; Kupfer, David J	10.1111/j.1399-5618.2009.00700.x	bvs	
133	Canadian Network for Mood and Anxiety Treatments (CANMAT) and International Society for Bipolar Disorders (ISBD) collaborative update of CANMAT guidelines for the management of patients with bipolar disorder: update 2009.	Yatham, Lakshmi N; Kennedy, Sidney H; Schaffer, Ayal; Parikh, Sagar V; Beaulieu, Serge; O'Donovan, Claire; MacQueen, Glenda; McIntyre, Roger S; Sharma, Verinder; Ravindran, Arun; Young, L Trevor; Young, Allan H; Alda, Martin; Milev, Roumen; Vieta, Eduard; Calabrese, Joseph R; Berk, Michael; Ha, Kyooseob; Kapczinski, Flávio	10.1111/j.1399-5618.2009.00672.x	bvs	
134	Psychosocial treatments for childhood and adolescent bipolar disorder.	West, Amy E; Pavuluri, Mani N	10.1016/j.chc.2008.11.009	bvs	
135	Influence of clinical and neuropsychological variables on the psychosocial and occupational outcome of remitted bipolar patients.	Mur, Maria; Portella, Maria J; Martinez-Aran, Anabel; Pifarre, Josep; Vieta, Eduard	10.1159/000207456	bvs	
136	The impact of psychotherapy sessions: internal structure of the Dutch Session Evaluation Questionnaire (SEQ).	Hafkenscheid, Anton	10.1348/147608308X380750	bvs	
137	Cognitive-behavioural treatment of first diagnosis bipolar disorder.	Jones, Steven H; Burrell-Hodgson, Gerrard	10.1002/cpp.584	bvs	
138	An adaptation of the Interpersonal Problem Areas Rating Scale: pilot and interrater agreement study/ Adaptação da Escala de Áreas Problema da Psicoterapia Interpessoal: estudo piloto e avaliação de concordância	Andrade, Ana Claudia Fontes de; Frank, Ellen; Lotufo Neto, Francisco; Houck, Patricia R		bvs	
139	[Functional behavior and psychosocial therapy in bipolar disorder]./ Devenir fonctionnel et thérapeutiques psycho-sociales dans le trouble bipolaire.	Gut-Fayand, A	10.1016/S0013-7006(08)80628-8	bvs	
140	Adjunctive psychotherapy for bipolar disorder: state of the evidence.	Miklowitz, David J	10.1176/appi.ajp.2008.08040488	bvs	
141	Dysfunctional attitudes and cognitive schemas in bipolar manic and unipolar depressed outpatients: implications for cognitively based psychotherapeutics.	Goldberg, Joseph F; Gerstein, Rachel K; Wenze, Susan J; Welker, Tara M; Beck, Aaron T	10.1097/NMD.0b013e3181663015	bvs	
142	Psychosocial interventions as adjunctive therapy for bipolar disorder.	Sachs, Gary S	10.1097/01.pra.0000320125.99423.b7	bvs	
143	Psicoterapia em grupo de pacientes com transtorno afetivo bipolar/ Group psychotherapy for bipolar disorder patients	Gomes, Bernardo Carramão; Lafer, Beny		bvs	
144	Abordagens psicoterápicas no transtorno bipolar/ Psychoterapeutic approach in bipolar disorder	Knapp, Paulo; Isolan, Luciano		bvs	
145	Adesão ao tratamento no transtorno bipolar/ Compliance to treatment in bipolar disorder	Santin, Aida; Ceresér, Keila; Rosa, Adriane		bvs	
146	Terapia comportamental cognitiva para pessoas com transtorno bipolar/ Cognitive behavioral therapy for bipolar disorders	Lotufo Neto, Francisco		bvs	
147	Melhorando o desfecho do transtorno bipolar usando estratégias não farmacológicas: o papel da psicoeducação/ Improving the outcome of bipolar disorder through non-pharmacological strategies: the role of psychoeducation	Colom, Francesc; Vieta, Eduard		bvs	
148	Terapia cognitiva: abordagem para o transtorno afetivo bipolar/ Cognitive-behavioral therapy for the bipolar disorder patients	Juruena, Mario Franscisco		bvs	
149	What Is the Optimal Treatment of Mood and Anxiety Disorders?	Fava, Giovanni A.;Ruini, Chiara	https://doi.org/10.1093/clipsy.bpi011	psycnet	
150	The nature of and behavioral treatment of sleep problems in youth with bipolar disorder.	Schwartz, Lisa A.;Feeny, Norah C.	https://doi.org/10.1037/h0100173	psycnet	
151	Review of Cognitive-behavioral therapy for bipolar disorder.	Zipple, Anthony	https://doi.org/10.1037/h0095354	psycnet	
152	Bipolar disorder and family communication: Effects of a psychoeducational treatment program.	Simoneau, Teresa L.;Miklowitz, David J.;Richards, Jeffrey A.;Saleem, Rakhshanda;George, Elizabeth L.	https://doi.org/10.1037/0021-843X.108.4.588	psycnet	
153	Expressed emotion and attributions in the relatives of bipolar patients: An analysis of problem-solving interactions.	Wendel, Jennifer S.;Miklowitz, David J.;Richards, Jeffrey A.;George, Elizabeth L.	https://doi.org/10.1037/0021-843X.109.4.792	psycnet	
154	Combined Psychotherapy and Pharmacotherapy for Mood and Anxiety Disorders in Adults: Review and Analysis.	Otto, Michael W.;Smits, Jasper A. J.;Reese, Hannah E.	https://doi.org/10.1093/clipsy.bpi009	psycnet	
155	Review of Cognitive-behavioral therapy for bipolar disorder and Cognitive therapy for delusions, voices, and paranoia.	Malouf, John	https://doi.org/10.1037/h0092376	psycnet	
156	Memory for therapy in bipolar disorder and comorbid insomnia.	Lee, Jason Y.;Harvey, Allison G.	https://doi.org/10.1037/a0037911	psycnet	
157	Contextual cognitive-behavioral therapies across the psychosis continuum: A review of evidence for schizophrenia, schizoaffective and bipolar disorders.	Martins, Maria João Ruivo Ventura;Castilho, Paula;Carvalho, Célia Barreto;Pereira, Ana Telma;Santos, Vitor;Gumley, Andrew;de Macedo, António Ferreira	https://doi.org/10.1027/1016-9040/a000283	psycnet	
158	Treating insomnia improves mood state, sleep, and functioning in bipolar disorder: A pilot randomized controlled trial.	Harvey, Allison G.;Soehner, Adriane M.;Kaplan, Kate A.;Hein, Kerrie;Lee, Jason;Kanady, Jennifer;Li, Descartes;Rabe-Hesketh, Sophia;Ketter, Terence A.;Neylan, Thomas C.;Buysse, Daniel J.	https://doi.org/10.1037/a0038655	psycnet	
159	Adjunctive Psychotherapy for Bipolar Disorder: A Systematic Review and Component Network Meta-analysis	Miklowitz DJ, Efthimiou O, Furukawa TA, Scott J, McLaren R, Geddes JR, Cipriani A.	10.1001/jamapsychiatry.2020.2993	pubmed	
160	Efficacy of cognitive-behavioral therapy in patients with bipolar disorder: A meta-analysis of randomized controlled trials	Chiang KJ, Tsai JC, Liu D, Lin CH, Chiu HL, Chou KR.	10.1371/journal.pone.0176849	pubmed	
161	Dialectical Behavior Therapy Group Skills Training for Bipolar Disorder	Eisner L, Eddie D, Harley R, Jacobo M, Nierenberg AA, Deckersbach T.	10.1016/j.beth.2016.12.006	pubmed	
162	Narrative Analyses: Cognitive Behavior Group Therapy for Women with Menopause and Bipolar or Major Depressive Disorders	Conklin D, Carpenter JS, Whitney MS, DeLozier S, Ogede DO, Bazella C, McVoy M, Sajatovic M.	10.1089/whr.2021.0025	pubmed	
163	Transdiagnostic group cognitive behaviour therapy for anxiety in bipolar disorder-a pilot feasibility and acceptability study	Perich T, Mitchell PB, Meade T.	10.1186/s40814-020-00719-6	pubmed	
164	Pilot Randomized Controlled Trial of Web-Delivered Acceptance and Commitment Therapy Versus Smokefree.gov for Smokers With Bipolar Disorder	Heffner JL, Kelly MM, Waxmonsky J, Mattocks K, Serfozo E, Bricker JB, Mull KE, Watson NL, Ostacher M.	10.1093/ntr/ntz242	pubmed	
165	Ethnicity and impact on the receipt of cognitive-behavioural therapy in people with psychosis or bipolar disorder: an English cohort study	Morris RM, Sellwood W, Edge D, Colling C, Stewart R, Cupitt C, Das-Munshi J.	10.1136/bmjopen-2019-034913	pubmed	
166	Mindfulness-based cognitive therapy for children and adolescents with anxiety disorders at-risk for bipolar disorder: A psychoeducation waitlist controlled pilot trial	Cotton S, Kraemer KM, Sears RW, Strawn JR, Wasson RS, McCune N, Welge J, Blom TJ, Durling M, Delbello MP.	10.1111/eip.12848	pubmed	
