Index,Title,Authors,DOI,Base
26,Effects of psychological and pharmacological interventions on anxiety symptoms in patients with bipolar disorder in full or partial remission: A systematic review.,"Seeberg, I; Nielsen, I B; Jørgensen, C K; Eskestad, N D; Miskowiak, K W",10.1016/j.jad.2020.09.119,bvs
27,"The effect of concomitant benzodiazepine use on neurocognition in stable, long-term patients with bipolar disorder.","Cañada, Yolanda; Sabater, Ana; Sierra, Pilar; Balanzá-Martínez, Vicent; Berk, Michael; Dodd, Seetal; Navalón, Pablo; Livianos, Lorenzo; García-Blanco, Ana",10.1177/0004867420969819,bvs
28,"It felt very special, it felt customised to me-A qualitative investigation of the experiences of participating in a clinical trial of CBT for young people at risk of bipolar disorder.","Jones, Wendy Theresa; Peters, Sarah; Byrne, Rory Edward; Shiers, David; Law, Heather; Parker, Sophie",10.1111/papt.12313,bvs
29,Ethnicity and impact on the receipt of cognitive-behavioural therapy in people with psychosis or bipolar disorder: an English cohort study.,"Morris, Rohan Michael; Sellwood, William; Edge, Dawn; Colling, Craig; Stewart, Robert; Cupitt, Caroline; Das-Munshi, Jayati",10.1136/bmjopen-2019-034913,bvs
30,Funciones cognitivas en la descendencia de pacientes con trastorno bipolar I/ Psychopathological and neuropsychological profile in the offspring of patients with bipolar disorder type I,"Bertieri Arcila, Humberto Carlos; De La Rosa, Adonilso Julio; Lemos Buitrago, Rocío",10.22517/25395203.23161,bvs
31,Adjuvant psychotherapy in early-stage bipolar disorder: study protocol for a randomized controlled trial.,"Stamm, Thomas J; Zwick, Julia C; O'Malley, Grace; Sondergeld, Lene-Marie; Hautzinger, Martin",10.1186/s13063-020-04755-8,bvs
32,Little Agreement on Treating Residual Bipolar Disorder Symptoms in a Child.,"Post, Robert M; Rowe, Michael; Findling, Robert",10.4088/PCC.19m02574,bvs
33,"Role of autobiographical memory in the impact of MBCT on dysfunctional attitudes, depressive symptoms and anxiety in bipolar I patients.","Docteur, Aurélie; Mirabel-Sarron, Christine; Kaya Lefèvre, Héline; Sala, Loretta; Husky, Mathilde; Swendsen, Joel; Gorwood, Philip",10.1016/j.jad.2020.07.072,bvs
34,"Influence of modifiable and non-modifiable variables on functioning in bipolar disorder: a path analytical study"".""","Cotrena, Charles; Damiani Branco, Laura; Milman Shansis, Flávio; Paz Fonseca, Rochele",10.1080/13651501.2020.1779307,bvs
35,Cognitive theory of mind in bipolar disorder: Comparisons with healthy controls and associations with function.,"Popolo, Raffaele; Borsella, Irene; Meschini, Laura; Pianella, Umberto; Zampaglione, Gabriella; Vinci, Giancarlo; Salvatore, Giampaolo; Dimaggio, Giancarlo; Vecchiotti, Roberta; Huling, Kelsey; Lysaker, Paul H",10.1016/j.psychres.2020.113030,bvs
36,Cognitive remediation for the treatment of neuropsychological disturbances in subjects with euthymic bipolar disorder: findings from a controlled study.,"Bernabei, Laura; Bersani, Francesco Saverio; Pompili, Enrico; Delle Chiaie, Roberto; Valente, Donatella; Corrado, Alessandra; Vergnani, Lucilla; Ferracuti, Stefano; Biondi, Massimo; Coccanari de'Fornari, Maria Antonietta",10.1016/j.jad.2020.05.073,bvs
37,Mindfulness-based cognitive therapy for bipolar disorder: A systematic review and meta-analysis.,"Xuan, Rongrong; Li, Xiaoming; Qiao, Yuxi; Guo, Qianhui; Liu, Xiaoyu; Deng, Wenrui; Hu, Qian; Wang, Kai; Zhang, Lei",10.1016/j.psychres.2020.113116,bvs
38,Targeting intrusive imagery using a competing task technique: a case study.,"Iyadurai, Lalitha; Hales, Susie A; Blackwell, Simon E; Young, Kerry; Holmes, Emily A",10.1017/S1352465820000296,bvs
39,Overcoming challenges in delivering integrated motivational interviewing and cognitive behavioural therapy for bipolar disorder with co-morbid alcohol use: therapist perspectives.,"Berry, Katherine; Barrowclough, Christine; Fitsimmons, Mike; Hartwell, Rosalyn; Hilton, Claire; Riste, Lisa; Wilson, Ian; Jones, Steven",10.1017/S1352465820000272,bvs
40,Continuing the debate: Cognitive enhancement therapy for mood disorders.,"Douglas, Katie M; Peckham, Andrew D; Porter, Richard J; Hammar, Åsa",10.1111/bdi.12919,bvs
41,A cognitive behavioural group therapy for bipolar disorder using daily mood monitoring.,"Henken, H T; Kupka, R W; Draisma, S; Lobbestael, J; van den Berg, K; Demacker, S M A; Regeer, E J",10.1017/S1352465820000259,bvs
42,The association between lithium use and neurocognitive performance in patients with bipolar disorder.,"Burdick, Katherine E; Millett, Caitlin E; Russo, Manuela; Alda, Martin; Alliey-Rodriguez, Ney; Anand, Amit; Balaraman, Yokesh; Berrettini, Wade; Bertram, Holli; Calabrese, Joseph R; Calkin, Cynthia; Conroy, Carla; Coryell, William; DeModena, Anna; Feeder, Scott; Fisher, Carrie; Frazier, Nicole; Frye, Mark; Gao, Keming; Garnham, Julie; Gershon, Elliot S; Glazer, Kara; Goes, Fernando S; Goto, Toyomi; Harrington, Gloria J; Jakobsen, Petter; Kamali, Masoud; Kelly, Marisa; Leckband, Susan; Løberg, Else Marie; Lohoff, Falk W; Maihofer, Adam X; McCarthy, Michael J; McInnis, Melvin; Morken, Gunnar; Nievergelt, Caroline M; Nurnberger, John; Oedegaard, Ketil J; Ortiz, Abigail; Ritchey, Megan; Ryan, Kelly; Schinagle, Martha; Schwebel, Candice; Shaw, Martha; Shilling, Paul; Slaney, Claire; Stapp, Emma; Tarwater, Bruce; Zandi, Peter; Kelsoe, John R",10.1038/s41386-020-0683-2,bvs
43,"Efficacy of cognitive-behavioral group therapy in patients at risk for serious mental illness presenting with subthreshold bipolar symptoms: Results from a prespecified interim analysis of a multicenter, randomized, controlled study.","Leopold, Karolina; Bauer, Michael; Bechdolf, Andreas; Correll, Christoph U; Holtmann, Martin; Juckel, Georg; Lambert, Martin; Meyer, Thomas D; Pfeiffer, Steffi; Kittel-Schneider, Sarah; Reif, Andreas; Stamm, Thomas J; Rottmann-Wolf, Maren; Mathiebe, Josephine; Kellmann, Eva L; Ritter, Philipp; Krüger-Özgürdal, Seza; Karow, Anne; Sondergeld, Lene-Marie; Roessner, Veit; Sauer, Cathrin; Pfennig, Andrea",10.1111/bdi.12894,bvs
44,Effectiveness of an internet-based self-guided program to treat depression in a sample of Brazilian users: a study protocol.,"Lopes, Rodrigo T; Meyer, Björn; Berger, Thomas; Svacina, Maria A",,bvs
45,Bipolar disorder as a condition of heterogeneity: Embracing an adaptive psychosocial approach.,"Gold, Alexandra K; Otto, Michael W; Sylvia, Louisa G",10.1111/bdi.12896,bvs
46,Assessment and treatment of sleep problems in bipolar disorder-A guide for psychologists and clinically focused review.,"Morton, Emma; Murray, Greg",10.1002/cpp.2433,bvs
47,"Demographic and Clinical Characteristics, Including Subsyndromal Symptoms Across Bipolar-Spectrum Disorders in Adolescents.","Salazar de Pablo, Gonzalo; Guinart, Daniel; Cornblatt, Barbara A; Auther, Andrea M; Carrión, Ricardo E; Carbon, Maren; Jiménez-Fernández, Sara; Vernal, Ditte L; Walitza, Susanne; Gerstenberg, Miriam; Saba, Riccardo; Lo Cascio, Nella; Brandizzi, Martina; Arango, Celso; Moreno, Carmen; Van Meter, Anna; Correll, Christoph U",10.1089/cap.2019.0138,bvs
48,Entering the debate: Cognitive enhancement therapy for mood disorders: A new paradigm?,"Burdick, Katherine E; Lewandowski, Kathryn E; Van Rheenen, Tamsyn E",10.1111/bdi.12889,bvs
49,Feasibility of the Audio Recorded Cognitive Screen in the Assessment of Individuals Undergoing Electroconvulsive Therapy.,"Weiss, Alan Michael; Brown, Nicole; Wainwright, Robert; Newtown, Christopher; Schofield, Peter William",10.1097/YCT.0000000000000637,bvs
50,Mindfulness-based cognitive therapy for children and adolescents with anxiety disorders at-risk for bipolar disorder: A psychoeducation waitlist controlled pilot trial.,"Cotton, Sian; Kraemer, Kristen M; Sears, Richard W; Strawn, Jeffrey R; Wasson, Rachel S; McCune, Nina; Welge, Jeffrey; Blom, Thomas J; Durling, Michelle; Delbello, Melissa P",10.1111/eip.12848,bvs
51,"Assessment of irritability in school-aged children by pediatric, family practice, and psychiatric providers.","Hameed, Usman; Dellasega, Cheryl; Scandinaro, Anna",10.1177/1359104519865591,bvs
52,Opposite effects of dopamine and serotonin on resting-state networks: review and implications for psychiatric disorders.,"Conio, Benedetta; Martino, Matteo; Magioncalda, Paola; Escelsior, Andrea; Inglese, Matilde; Amore, Mario; Northoff, Georg",10.1038/s41380-019-0406-4,bvs
53,"What is the relationship between post-traumatic stress disorder, extreme appraisals of internal state and symptoms in bipolar disorder?","Frost, Laura; Mansell, Warren; Varese, Filippo; Tai, Sara",10.1017/S1352465819000572,bvs
54,Pharmacological and Psychosocial Treatment of Adults With Gambling Disorder: A Meta-Review.,"Di Nicola, Marco; De Crescenzo, Franco; D'Alò, Gian Loreto; Remondi, Chiara; Panaccione, Isabella; Moccia, Lorenzo; Molinaro, Marzia; Dattoli, Luigi; Lauriola, Alessandro; Martinelli, Silvia; Giuseppin, Giulia; Maisto, Francesco; Crosta, Maria Luigia; Di Pietro, Salvatore; Amato, Laura; Janiri, Luigi",10.1097/ADM.0000000000000574,bvs
55,Immune response to stress induction as a predictor of cognitive-behavioral therapy outcomes in adolescent mood disorders: A pilot study.,"Pearlstein, Jennifer G; Staudenmaier, Paige J; West, Amy E; Geraghty, Shauna; Cosgrove, Victoria E",10.1016/j.jpsychires.2019.10.012,bvs
56,Reward sensitivity and the course of bipolar disorder: A survival analysis in a treatment seeking sample.,"Kwan, Janet W; Bauer, Isabelle E; Hautzinger, Martin; Meyer, Thomas D",10.1016/j.jad.2019.10.002,bvs
57,Improved functioning following computerized working memory training (COGMED®) in euthymic patients with bipolar disorder and cognitive complaints: An exploratory study.,"Lengvenyte, Aiste; Coppola, Frédéric; Jaussent, Isabelle; Courtet, Philippe; Olié, Emilie",10.1016/j.jad.2019.11.062,bvs
58,A guide to behavioural experiments in bipolar disorder.,"Palmier-Claus, Jasper; Wright, Kim; Mansell, Warren; Bowe, Samantha; Lobban, Fiona; Tyler, Elizabeth; Lodge, Christopher; Jones, Steve",10.1002/cpp.2415,bvs
59,Three-year longitudinal cognitive functioning in patients recently diagnosed with bipolar disorder.,"Torres, I J; Qian, H; Basivireddy, J; Chakrabarty, T; Wong, H; Lam, R W; Yatham, L N",10.1111/acps.13141,bvs
60,"Long versus short pulse width subcallosal cingulate stimulation for treatment-resistant depression: a randomised, double-blind, crossover trial.","Ramasubbu, Rajamannar; Clark, Darren L; Golding, Sandra; Dobson, Keith S; Mackie, Aaron; Haffenden, Angela; Kiss, Zelma Ht",10.1016/S2215-0366(19)30415-8,bvs
61,Pharmacological and behavioural interventions to promote smoking cessation in adults with schizophrenia and bipolar disorders: a systematic review and meta-analysis of randomised trials.,"Pearsall, Robert; Smith, Daniel J; Geddes, John R",10.1136/bmjopen-2018-027389,bvs
62,Feasibility and Acceptability of a Lifestyle Intervention For Individuals With Bipolar Disorder.,"Sylvia, Louisa G; Janos, Jessica A; Pegg, Samantha L; Dufour, Steven C; Chang, Weilynn C; Bernstein, Emily E; Davis, Brett; Ellard, Kristen K; Deckersbach, Thilo; Nierenberg, Andrew A",10.1097/PRA.0000000000000426,bvs
63,Contribuições e principais intervenções da terapia cognitivo comportamental no tratamento do transtorno bipolar/ Contributions and Main Interventions of Cognitive-Behavioral Therapy in the Treatment of Bipolar Disorder,"Oliveira, IRonaldo Rodrigues de; Kuhn, Diana; Rigoli, Marcelo Montagner; Bücker, Joana",,bvs
64,The chronotherapeutic treatment of bipolar disorders: A systematic review and practice recommendations from the ISBD task force on chronotherapy and chronobiology.,"Gottlieb, John F; Benedetti, Francesco; Geoffroy, Pierre A; Henriksen, Tone E G; Lam, Raymond W; Murray, Greg; Phelps, James; Sit, Dorothy; Swartz, Holly A; Crowe, Marie; Etain, Bruno; Frank, Ellen; Goel, Namni; Haarman, Bartholomeus C M; Inder, Maree; Kallestad, Håvard; Jae Kim, Seong; Martiny, Klaus; Meesters, Ybe; Porter, Richard; Riemersma-van der Lek, Rixt F; Ritter, Philipp S; Schulte, Peter F J; Scott, Jan; Wu, Joseph C; Yu, Xin; Chen, Shenghao",10.1111/bdi.12847,bvs
65,Lifestyle interventions for mental health.,"Manger, Sam",10.31128/AJGP-06-19-4964,bvs
66,Morningness-eveningness scores predict outcomes differentially for depressed patients attending morning vs. afternoon day treatment streams.,"Levitan, Robert D; Klein, Ryan; Bakshi, Neely; Laposa, Judith; Hill, Sean; Kloiber, Stefan; Daskalakis, Zafiris J",10.1080/07420528.2019.1661851,bvs
67,The Interface Between Psychiatry and Ophthalmology.,"Sadykov, Evgenii; Studnicka, Jan; Hosák, Ladislav; Siligardou, Mikela-Rafaella; Elfurjani, Hajer; Hoikam, Jessica Leung; Kugananthan, Surentheran; Petrovas, Anastasios; Amjad, Talal",10.14712/18059694.2019.104,bvs
68,"Cognitive decline after electroconvulsive therapy, based on psychiatric disorders.","Zandifar, Atefeh; Rahim, Badrfam; Assareh, Marzieh; Pahlevan, Hossein Ali; Naji, Borzooyeh",10.1016/j.ajp.2019.07.045,bvs
69,Cost-Effectiveness Evaluations of Psychological Therapies for Schizophrenia and Bipolar Disorder: A Systematic Review.,"Shields, Gemma Elizabeth; Buck, Deborah; Elvidge, Jamie; Hayhurst, Karen Petra; Davies, Linda Mary",10.1017/S0266462319000448,bvs
70,Focus on Disruptive Mood Dysregulation Disorder: A review of the literature.,"Bruno, Antonio; Celebre, Laura; Torre, Giovanna; Pandolfo, Gianluca; Mento, Carmela; Cedro, Clemente; Zoccali, Rocco A; Muscatello, Maria Rosaria Anna",10.1016/j.psychres.2019.05.043,bvs
71,Feasibility and acceptability of integrated psychological therapy versus treatment as usual for people with bipolar disorder and co-morbid alcohol use: A single blind randomised controlled trial.,"Jones, Steven H; Riste, Lisa; Robinson, Heather; Holland, Fiona; Peters, Sarah; Hartwell, Rosalyn; Berry, Katherine; Fitzsimmons, Mike; Wilson, Ian; Hilton, Claire; Long, Rita; Bateman, Lucy; Weymouth, Emma; Owen, Rebecca; Roberts, Chris; Barrowclough, Christine",10.1016/j.jad.2019.05.038,bvs
72,Study protocol of a multicenter randomized controlled trial of mindfulness-based cognitive therapy and treatment as usual in bipolar disorder.,"Hanssen, I; Huijbers, M J; Lochmann-van Bennekom, M W H; Regeer, E J; Stevens, A W M M; Evers, S M A A; Wensing, M; Kupka, R W; Speckens, A E M",10.1186/s12888-019-2115-6,bvs
73,Functional remediation improves bipolar disorder functioning with no effects on brain-derived neurotrophic factor levels.,"Bonnin, Caterina Del Mar; Valls, Elia; Rosa, Adriane R; Reinares, Maria; Jimenez, Esther; Solé, Brisa; Montejo, Laura; Meseguer, Ana; Pacchiarotti, Isabella; Colom, Francesc; Martinez-Aran, Anabel; Tomioka, Yoko; Vieta, Eduard; Torrent, Carla",10.1016/j.euroneuro.2019.04.002,bvs
74,Paliperidone Use in Child Psychiatry: Evidence or Diffidence?,"Naguy, Ahmed; Adel, Tarek; Almazeedi, Ibrahim",10.1159/000500629,bvs
75,Current understanding of bipolar disorder: Toward integration of biological basis and treatment strategies.,"Kato, Tadafumi",10.1111/pcn.12852,bvs
76,Clinical and biological effects of long-term lithium treatment in older adults with amnestic mild cognitive impairment: randomised clinical trial.,"Forlenza, Orestes V; Radanovic, Márcia; Talib, Leda L; Gattaz, Wagner F",10.1192/bjp.2019.76,bvs
77,Cognitive behavioral rehabilitation for bipolar disorder patients: A randomized controlled trial.,"Gomes, Bernardo C; Rocca, Cristiana C; Belizario, Gabriel O; de B F Fernandes, Francy; Valois, Iolanda; Olmo, Giselle C; Fachin, Raquel V P; Farhat, Luís C; Lafer, Beny",10.1111/bdi.12784,bvs
78,The Cost-Effectiveness of the Improving Access to Psychological Therapies (IAPT) Programme in Severe Mental Illness: A Decision Analytical Model Using Routine Data.,"Zala, Darshan; Brabban, Alison; Stirzaker, Alex; Kartha, Muralikrishnan Radhakrishnan; McCrone, Paul",10.1007/s10597-019-00390-z,bvs
79,Social cognition and interaction training (SCIT) for partially remitted patients with bipolar disorder in China.,"Zhang, Yong; Ma, Xiaojuan; Liang, Sixiang; Yu, Wenwen; He, Qianqian; Zhang, Jian; Bian, Yanhui",10.1016/j.psychres.2019.03.002,bvs
80,Effects of a behavioural weight loss intervention in people with serious mental illness: Subgroup analyses from the ACHIEVE trial.,"Alexander, Eleanore; McGinty, Emma E; Wang, Nae-Yuh; Dalcin, Arlene; Jerome, Gerald J; Miller, Edgar R; Dickerson, Faith; Charleston, Jeanne; Young, Deborah R; Gennusa, Joseph V; Goldsholl, Stacy; Cook, Courtney; Appel, Lawrence J; Daumit, Gail L",10.1016/j.orcp.2019.02.002,bvs
81,Improving functional outcomes in early-stage bipolar disorder: The protocol for the REsearch into COgnitive and behavioural VERsatility trial.,"Cotton, Sue M; Berk, Michael; Jackson, Henry; Murray, Greg; Filia, Kate; Hasty, Melissa; Chanen, Andrew; Davey, Christopher; Nelson, Barnaby; Ratheesh, Aswin; MacNeil, Craig",10.1111/eip.12797,bvs
82,Predictors of Treatment Adequacy During Evidence-Based Psychotherapy for PTSD.,"Hale, Andrew C; Bohnert, Kipling M; Ganoczy, Dara; Sripada, Rebecca K",10.1176/appi.ps.201800361,bvs
83,Diet quality and eating patterns in euthymic bipolar patients.,"Lojko, D; Stelmach-Mardas, M; Suwalska, A",10.26355/eurrev_201902_17016,bvs
84,Comorbid disorders as moderators of response to family interventions among adolescents with bipolar disorder.,"Weintraub, Marc J; Axelson, David A; Kowatch, Robert A; Schneck, Christopher D; Miklowitz, David J",10.1016/j.jad.2018.12.125,bvs
85,Suicide ideation as a predictor of treatment outcomes in cognitive-behavioral therapy for unipolar mood disorders/ La ideación suicida como predictor de los resultados del tratamiento en terapia cognitivo-conductual para los trastornos del estado de ánimo unipolares,"Von Brachel, Ruth; Teismann, Tobias; Feider, Lisa; Margraf, Jürgen",10.1016/j.ijchp.2018.09.002,bvs
86,"Decision-making ability in psychosis: a systematic review and meta-analysis of the magnitude, specificity and correlates of impaired performance on the Iowa and Cambridge Gambling Tasks.","Woodrow, Amanda; Sparks, Sarah; Bobrovskaia, Valeria; Paterson, Charlotte; Murphy, Philip; Hutton, Paul",10.1017/S0033291718002660,bvs
87,The Role of Self-Esteem in Depression: A Longitudinal Study.,"Hilbert, Sven; Goerigk, Stephan; Padberg, Frank; Nadjiri, Annekatrin; Übleis, Aline; Jobst, Andrea; Dewald-Kaufmann, Julia; Falkai, Peter; Bühner, Markus; Naumann, Felix; Sarubin, Nina",10.1017/S1352465818000243,bvs
88,Single-Session Mobile-Augmented Intervention in Serious Mental Illness: A Three-Arm Randomized Controlled Trial.,"Depp, Colin A; Perivoliotis, Dimitri; Holden, Jason; Dorr, Jennifer; Granholm, Eric L",10.1093/schbul/sby135,bvs
89,[Supervised off-label prescribing of methylphenidate in adult ADHD]./ Prescriptions hors AMM supervisées de méthylphénidate dans le TDAH de l'adulte.,"Carton, L; Dondaine, T; Deheul, S; Marquié, C; Brigadeau, F; Amad, A; Devos, D; Danel, T; Bordet, R; Cottencin, O; Gautier, S; Ménard, O",10.1016/j.encep.2018.05.008,bvs
90,Effectiveness and Cognitive Changes With Ultrabrief Right Unilateral and Other Forms of Electroconvulsive Therapy in the Treatment of Mania.,"Wong, Vincent Khung Hoon; Tor, Phern Chern; Martin, Donel M; Mok, Yee Ming; Loo, Colleen",10.1097/YCT.0000000000000519,bvs
