PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26528666","Consequences of misdiagnosis: inaccurate treatment and poor patient outcomes in bipolar disorder","Nasrallah HA.","J Clin Psychiatry. 2015 Oct;76(10):e1328. doi: 10.4088/JCP.14016tx2c.","Nasrallah HA","J Clin Psychiatry","2015","2015/11/04","","","10.4088/JCP.14016tx2c"
"33918462","Gut Microbiota and Bipolar Disorder: An Overview on a Novel Biomarker for Diagnosis and Treatment","Lucidi L, Pettorruso M, Vellante F, Di Carlo F, Ceci F, Santovito MC, Di Muzio I, Fornaro M, Ventriglio A, Tomasetti C, Valchera A, Gentile A, Kim YK, Martinotti G, Fraticelli S, Di Giannantonio M, De Berardis D.","Int J Mol Sci. 2021 Apr 2;22(7):3723. doi: 10.3390/ijms22073723.","Lucidi L","Int J Mol Sci","2021","2021/04/30","PMC8038247","","10.3390/ijms22073723"
"29946213","Metabolic syndrome in psychiatric patients: overview, mechanisms, and implications","Penninx BWJH, Lange SMM.","Dialogues Clin Neurosci. 2018 Mar;20(1):63-73. doi: 10.31887/DCNS.2018.20.1/bpenninx.","Penninx BWJH","Dialogues Clin Neurosci","2018","2018/06/28","PMC6016046","","10.31887/DCNS.2018.20.1/bpenninx"
"25622197","Treating insomnia improves mood state, sleep, and functioning in bipolar disorder: a pilot randomized controlled trial","Harvey AG, Soehner AM, Kaplan KA, Hein K, Lee J, Kanady J, Li D, Rabe-Hesketh S, Ketter TA, Neylan TC, Buysse DJ.","J Consult Clin Psychol. 2015 Jun;83(3):564-77. doi: 10.1037/a0038655. Epub 2015 Jan 26.","Harvey AG","J Consult Clin Psychol","2015","2015/01/27","PMC4446240","NIHMS655744","10.1037/a0038655"
"31940011","Effects of Family-Focused Therapy vs Enhanced Usual Care for Symptomatic Youths at High Risk for Bipolar Disorder: A Randomized Clinical Trial","Miklowitz DJ, Schneck CD, Walshaw PD, Singh MK, Sullivan AE, Suddath RL, Forgey Borlik M, Sugar CA, Chang KD.","JAMA Psychiatry. 2020 May 1;77(5):455-463. doi: 10.1001/jamapsychiatry.2019.4520.","Miklowitz DJ","JAMA Psychiatry","2020","2020/01/16","PMC6990706","NIHMS1069040","10.1001/jamapsychiatry.2019.4520"
"33252911","Seasonal Affective Disorder: Common Questions and Answers","Galima SV, Vogel SR, Kowalski AW.","Am Fam Physician. 2020 Dec 1;102(11):668-672.","Galima SV","Am Fam Physician","2020","2020/11/30","","",""
"31026388","Efficacy and safety of lithium and lamotrigine for the maintenance treatment of clinically stable patients with bipolar disorder: A systematic review and meta-analysis of double-blind, randomized, placebo-controlled trials with an enrichment design","Oya K, Sakuma K, Esumi S, Hashimoto Y, Hatano M, Matsuda Y, Matsui Y, Miyake N, Nomura I, Okuya M, Iwata N, Kato M, Hashimoto R, Mishima K, Watanabe N, Kishi T.","Neuropsychopharmacol Rep. 2019 Sep;39(3):241-246. doi: 10.1002/npr2.12056. Epub 2019 Apr 26.","Oya K","Neuropsychopharmacol Rep","2019","2019/04/27","PMC7292324","","10.1002/npr2.12056"
"30298064","Translational Investigation of the Therapeutic Potential of Cannabidiol (CBD): Toward a New Age","Crippa JA, Guimarães FS, Campos AC, Zuardi AW.","Front Immunol. 2018 Sep 21;9:2009. doi: 10.3389/fimmu.2018.02009. eCollection 2018.","Crippa JA","Front Immunol","2018","2018/10/10","PMC6161644","","10.3389/fimmu.2018.02009"
"32658817","Effects of family-focused therapy on suicidal ideation and behavior in youth at high risk for bipolar disorder","Miklowitz DJ, Merranko JA, Weintraub MJ, Walshaw PD, Singh MK, Chang KD, Schneck CD.","J Affect Disord. 2020 Oct 1;275:14-22. doi: 10.1016/j.jad.2020.06.015. Epub 2020 Jun 26.","Miklowitz DJ","J Affect Disord","2020","2020/07/14","PMC7395856","NIHMS1607465","10.1016/j.jad.2020.06.015"
"28577590","Dialectical Behavior Therapy Group Skills Training for Bipolar Disorder","Eisner L, Eddie D, Harley R, Jacobo M, Nierenberg AA, Deckersbach T.","Behav Ther. 2017 Jul;48(4):557-566. doi: 10.1016/j.beth.2016.12.006. Epub 2017 Jan 6.","Eisner L","Behav Ther","2017","2017/06/05","PMC6145450","NIHMS985587","10.1016/j.beth.2016.12.006"
"31566935","Clinical applications of transcranial magnetic stimulation in bipolar disorder","Gold AK, Ornelas AC, Cirillo P, Caldieraro MA, Nardi AE, Nierenberg AA, Kinrys G.","Brain Behav. 2019 Oct;9(10):e01419. doi: 10.1002/brb3.1419. Epub 2019 Sep 30.","Gold AK","Brain Behav","2019","2019/10/01","PMC6790310","","10.1002/brb3.1419"
"34671764","Narrative Analyses: Cognitive Behavior Group Therapy for Women with Menopause and Bipolar or Major Depressive Disorders","Conklin D, Carpenter JS, Whitney MS, DeLozier S, Ogede DO, Bazella C, McVoy M, Sajatovic M.","Womens Health Rep (New Rochelle). 2021 Sep 22;2(1):430-442. doi: 10.1089/whr.2021.0025. eCollection 2021.","Conklin D","Womens Health Rep (New Rochelle)","2021","2021/10/21","PMC8524736","","10.1089/whr.2021.0025"
"33292713","Transdiagnostic group cognitive behaviour therapy for anxiety in bipolar disorder-a pilot feasibility and acceptability study","Perich T, Mitchell PB, Meade T.","Pilot Feasibility Stud. 2020 Nov 7;6(1):170. doi: 10.1186/s40814-020-00719-6.","Perich T","Pilot Feasibility Stud","2020","2020/12/09","PMC7648280","","10.1186/s40814-020-00719-6"
"25222800","Memory for therapy in bipolar disorder and comorbid insomnia","Lee JY, Harvey AG.","J Consult Clin Psychol. 2015 Feb;83(1):92-102. doi: 10.1037/a0037911. Epub 2014 Sep 15.","Lee JY","J Consult Clin Psychol","2015","2014/09/16","PMC4323885","NIHMS622533","10.1037/a0037911"
"26979387","Evidence-based guidelines for treating bipolar disorder: Revised third edition recommendations from the British Association for Psychopharmacology","Goodwin GM, Haddad PM, Ferrier IN, Aronson JK, Barnes T, Cipriani A, Coghill DR, Fazel S, Geddes JR, Grunze H, Holmes EA, Howes O, Hudson S, Hunt N, Jones I, Macmillan IC, McAllister-Williams H, Miklowitz DR, Morriss R, Munafò M, Paton C, Saharkian BJ, Saunders K, Sinclair J, Taylor D, Vieta E, Young AH.","J Psychopharmacol. 2016 Jun;30(6):495-553. doi: 10.1177/0269881116636545. Epub 2016 Mar 15.","Goodwin GM","J Psychopharmacol","2016","2016/03/17","PMC4922419","EMS68670","10.1177/0269881116636545"
"31883336","Pilot Randomized Controlled Trial of Web-Delivered Acceptance and Commitment Therapy Versus Smokefree.gov for Smokers With Bipolar Disorder","Heffner JL, Kelly MM, Waxmonsky J, Mattocks K, Serfozo E, Bricker JB, Mull KE, Watson NL, Ostacher M.","Nicotine Tob Res. 2020 Aug 24;22(9):1543-1552. doi: 10.1093/ntr/ntz242.","Heffner JL","Nicotine Tob Res","2020","2019/12/29","PMC7443589","","10.1093/ntr/ntz242"
"33323425","Ethnicity and impact on the receipt of cognitive-behavioural therapy in people with psychosis or bipolar disorder: an English cohort study","Morris RM, Sellwood W, Edge D, Colling C, Stewart R, Cupitt C, Das-Munshi J.","BMJ Open. 2020 Dec 15;10(12):e034913. doi: 10.1136/bmjopen-2019-034913.","Morris RM","BMJ Open","2020","2020/12/16","PMC7745324","","10.1136/bmjopen-2019-034913"
"31264800","Mindfulness-based cognitive therapy for children and adolescents with anxiety disorders at-risk for bipolar disorder: A psychoeducation waitlist controlled pilot trial","Cotton S, Kraemer KM, Sears RW, Strawn JR, Wasson RS, McCune N, Welge J, Blom TJ, Durling M, Delbello MP.","Early Interv Psychiatry. 2020 Apr;14(2):211-219. doi: 10.1111/eip.12848. Epub 2019 Jul 2.","Cotton S","Early Interv Psychiatry","2020","2019/07/03","PMC7307795","NIHMS1042272","10.1111/eip.12848"
"31917880","Efficacy and safety of bright light therapy for manic and depressive symptoms in patients with bipolar disorder: A systematic review and meta-analysis","Takeshima M, Utsumi T, Aoki Y, Wang Z, Suzuki M, Okajima I, Watanabe N, Watanabe K, Takaesu Y.","Psychiatry Clin Neurosci. 2020 Apr;74(4):247-256. doi: 10.1111/pcn.12976. Epub 2020 Feb 10.","Takeshima M","Psychiatry Clin Neurosci","2020","2020/01/10","PMC7187384","","10.1111/pcn.12976"
"31929465","The Relationship Between Medication Attitudes and Medication Adherence Behavior in Adults With Bipolar Disorder","Levin JB, Aebi ME, Howland M, Barboza M, Eskew L, Tatsuoka C, Cassidy KA, Sajatovic M.","J Nerv Ment Dis. 2020 Feb;208(2):87-93. doi: 10.1097/NMD.0000000000001083.","Levin JB","J Nerv Ment Dis","2020","2020/01/14","PMC7316161","NIHMS1591621","10.1097/NMD.0000000000001083"
"34517435","Mindfulness-based cognitive therapy efficacy in reducing physiological response to emotional stimuli in patients with bipolar I disorder and the intermediate role of cognitive reactivity","Docteur A, Gorwood P, Mirabel-Sarron C, Kaya Lefèvre H, Sala L, Duriez P.","J Clin Psychol. 2021 Nov;77(11):2442-2454. doi: 10.1002/jclp.23243. Epub 2021 Sep 13.","Docteur A","J Clin Psychol","2021","2021/09/13","","","10.1002/jclp.23243"
"25010702","Dialectical behavior therapy for adolescents with bipolar disorder: results from a pilot randomized trial","Goldstein TR, Fersch-Podrat RK, Rivera M, Axelson DA, Merranko J, Yu H, Brent DA, Birmaher B.","J Child Adolesc Psychopharmacol. 2015 Mar;25(2):140-9. doi: 10.1089/cap.2013.0145. Epub 2014 Jul 10.","Goldstein TR","J Child Adolesc Psychopharmacol","2015","2014/07/11","PMC4367513","","10.1089/cap.2013.0145"
"29389150","Family communication with teens at clinical high-risk for psychosis or bipolar disorder","Salinger JM, O'Brien MP, Miklowitz DJ, Marvin SE, Cannon TD.","J Fam Psychol. 2018 Jun;32(4):507-516. doi: 10.1037/fam0000393. Epub 2018 Feb 1.","Salinger JM","J Fam Psychol","2018","2018/02/02","PMC5992095","NIHMS959940","10.1037/fam0000393"
"31821221","Feasibility and Acceptability of a Lifestyle Intervention For Individuals With Bipolar Disorder","Sylvia LG, Janos JA, Pegg SL, Dufour SC, Chang WC, Bernstein EE, Davis B, Ellard KK, Deckersbach T, Nierenberg AA.","J Psychiatr Pract. 2019 Nov;25(6):451-460. doi: 10.1097/PRA.0000000000000426.","Sylvia LG","J Psychiatr Pract","2019","2019/12/11","PMC6910209","NIHMS1539835","10.1097/PRA.0000000000000426"
"33081393","Digital Phenotyping in Bipolar Disorder: Which Integration with Clinical Endophenotypes and Biomarkers?","Orsolini L, Fiorani M, Volpe U.","Int J Mol Sci. 2020 Oct 16;21(20):7684. doi: 10.3390/ijms21207684.","Orsolini L","Int J Mol Sci","2020","2020/10/21","PMC7589576","","10.3390/ijms21207684"
"17969869","Interpersonal and social rhythm therapy: an intervention addressing rhythm dysregulation in bipolar disorder","Frank E, Swartz HA, Boland E.","Dialogues Clin Neurosci. 2007;9(3):325-32. doi: 10.31887/DCNS.2007.9.3/efrank.","Frank E","Dialogues Clin Neurosci","2007","2007/11/01","PMC3202498","","10.31887/DCNS.2007.9.3/efrank"
"21318195","Cardiovascular morbidity and mortality in bipolar disorder","Weiner M, Warren L, Fiedorowicz JG.","Ann Clin Psychiatry. 2011 Feb;23(1):40-7.","Weiner M","Ann Clin Psychiatry","2011","2011/02/15","PMC3190964","NIHMS328112",""
"17581446","Dialectical behavior therapy for adolescents with bipolar disorder: a 1-year open trial","Goldstein TR, Axelson DA, Birmaher B, Brent DA.","J Am Acad Child Adolesc Psychiatry. 2007 Jul;46(7):820-30. doi: 10.1097/chi.0b013e31805c1613.","Goldstein TR","J Am Acad Child Adolesc Psychiatry","2007","2007/06/22","PMC2823290","NIHMS175483","10.1097/chi.0b013e31805c1613"
"28588455","Circuits Regulating Pleasure and Happiness in Bipolar Disorder","Loonen AJM, Kupka RW, Ivanova SA.","Front Neural Circuits. 2017 May 22;11:35. doi: 10.3389/fncir.2017.00035. eCollection 2017.","Loonen AJM","Front Neural Circuits","2017","2017/06/08","PMC5439000","","10.3389/fncir.2017.00035"
"26973742","Managing Agitation Associated with Schizophrenia and Bipolar Disorder in the Emergency Setting","Zeller SL, Citrome L.","West J Emerg Med. 2016 Mar;17(2):165-72. doi: 10.5811/westjem.2015.12.28763. Epub 2016 Mar 2.","Zeller SL","West J Emerg Med","2016","2016/03/15","PMC4786236","","10.5811/westjem.2015.12.28763"
"30103785","Balancing ACT: evaluating the effectiveness of psychoeducation and Acceptance and Commitment Therapy (ACT) groups for people with bipolar disorder: study protocol for pilot randomised controlled trial","O'Donoghue E, Clark A, Richardson M, Hodsoll J, Nandha S, Morris E, Kane F, O'Keeffe D, Butler L, Jolley S.","Trials. 2018 Aug 13;19(1):436. doi: 10.1186/s13063-018-2789-y.","O'Donoghue E","Trials","2018","2018/08/15","PMC6090792","","10.1186/s13063-018-2789-y"
"31039765","Study protocol of a multicenter randomized controlled trial of mindfulness-based cognitive therapy and treatment as usual in bipolar disorder","Hanssen I, Huijbers MJ, Lochmann-van Bennekom MWH, Regeer EJ, Stevens AWMM, Evers SMAA, Wensing M, Kupka RW, Speckens AEM.","BMC Psychiatry. 2019 Apr 30;19(1):130. doi: 10.1186/s12888-019-2115-6.","Hanssen I","BMC Psychiatry","2019","2019/05/02","PMC6492313","","10.1186/s12888-019-2115-6"
"30442475","Critical period plasticity-related transcriptional aberrations in schizophrenia and bipolar disorder","Smith MR, Readhead B, Dudley JT, Morishita H.","Schizophr Res. 2019 May;207:12-21. doi: 10.1016/j.schres.2018.10.021. Epub 2018 Nov 12.","Smith MR","Schizophr Res","2019","2018/11/17","PMC6591017","NIHMS1019677","10.1016/j.schres.2018.10.021"
"34971494","Adherence to psychiatric medications: Comparing patients with schizophrenia, bipolar disorder and major depression","Lazary J, Pogany L, De Las Cuevas C, Villasante-Tezanos GA, De Leon J.","Neuropsychopharmacol Hung. 2021 Dec 1;23(4):363-373.","Lazary J","Neuropsychopharmacol Hung","2021","2021/12/31","","",""
"22735175","Group cognitive behavior therapy for bipolar disorder can improve the quality of life","Costa RT, Cheniaux E, Rangé BP, Versiani M, Nardi AE.","Braz J Med Biol Res. 2012 Sep;45(9):862-8. doi: 10.1590/s0100-879x2012007500109. Epub 2012 Jun 28.","Costa RT","Braz J Med Biol Res","2012","2012/06/28","PMC3854327","","10.1590/s0100-879x2012007500109"
"33926981","Influence of childhood trauma on the treatment outcomes of pharmacological and/or psychological interventions for adolescents and adults with bipolar disorder: protocol for a systematic review and meta-analysis","Wrobel A, Russell SE, Dean OM, Cotton S, Berk M, Turner A.","BMJ Open. 2021 Apr 29;11(4):e044569. doi: 10.1136/bmjopen-2020-044569.","Wrobel A","BMJ Open","2021","2021/04/30","PMC8094386","","10.1136/bmjopen-2020-044569"
"29391366","Exploring the feasibility and acceptability of a recovery-focused group therapy intervention for adults with bipolar disorder: trial protocol","Beck AK, Baker A, Jones S, Lobban F, Kay-Lambkin F, Attia J, Banfield M.","BMJ Open. 2018 Jan 31;8(1):e019203. doi: 10.1136/bmjopen-2017-019203.","Beck AK","BMJ Open","2018","2018/02/03","PMC5829875","","10.1136/bmjopen-2017-019203"
"17341174","Pharmacological treatment of bipolar disorder among children and adolescents","Blader JC, Kafantaris V.","Expert Rev Neurother. 2007 Mar;7(3):259-70. doi: 10.1586/14737175.7.3.259.","Blader JC","Expert Rev Neurother","2007","2007/03/08","PMC2946413","NIHMS237002","10.1586/14737175.7.3.259"
"18689293","Psychosocial interventions and medication adherence in bipolar disorder","Depp CA, Moore DJ, Patterson TL, Lebowitz BD, Jeste DV.","Dialogues Clin Neurosci. 2008;10(2):239-50. doi: 10.31887/DCNS.2008.10.2/cadepp.","Depp CA","Dialogues Clin Neurosci","2008","2008/08/12","PMC3181867","","10.31887/DCNS.2008.10.2/cadepp"
"23457180","Bipolar disorder and substance misuse: pathological and therapeutic implications of their comorbidity and cross-sensitisation","Post RM, Kalivas P.","Br J Psychiatry. 2013 Mar;202(3):172-6. doi: 10.1192/bjp.bp.112.116855.","Post RM","Br J Psychiatry","2013","2013/03/05","PMC4340700","NIHMS665768","10.1192/bjp.bp.112.116855"
"33420255","Childhood maltreatment, prefrontal-paralimbic gray matter volume, and substance use in young adults and interactions with risk for bipolar disorder","Kirsch DE, Tretyak V, Radpour S, Weber WA, Nemeroff CB, Fromme K, Strakowski SM, Lippard ETC.","Sci Rep. 2021 Jan 8;11(1):123. doi: 10.1038/s41598-020-80407-w.","Kirsch DE","Sci Rep","2021","2021/01/09","PMC7794246","","10.1038/s41598-020-80407-w"
"25440307","Child- and family-focused cognitive-behavioral therapy for pediatric bipolar disorder: a randomized clinical trial","West AE, Weinstein SM, Peters AT, Katz AC, Henry DB, Cruz RA, Pavuluri MN.","J Am Acad Child Adolesc Psychiatry. 2014 Nov;53(11):1168-78, 1178.e1. doi: 10.1016/j.jaac.2014.08.013. Epub 2014 Sep 8.","West AE","J Am Acad Child Adolesc Psychiatry","2014","2014/12/03","PMC4254579","NIHMS631832","10.1016/j.jaac.2014.08.013"
"26783833","Neural Function Before and After Mindfulness-Based Cognitive Therapy in Anxious Adolescents at Risk for Developing Bipolar Disorder","Strawn JR, Cotton S, Luberto CM, Patino LR, Stahl LA, Weber WA, Eliassen JC, Sears R, DelBello MP.","J Child Adolesc Psychopharmacol. 2016 May;26(4):372-9. doi: 10.1089/cap.2015.0054. Epub 2016 Jan 19.","Strawn JR","J Child Adolesc Psychopharmacol","2016","2016/01/20","PMC4876535","","10.1089/cap.2015.0054"
"23814104","Lithium in the prevention of suicide in mood disorders: updated systematic review and meta-analysis","Cipriani A, Hawton K, Stockton S, Geddes JR.","BMJ. 2013 Jun 27;346:f3646. doi: 10.1136/bmj.f3646.","Cipriani A","BMJ","2013","2013/07/02","","","10.1136/bmj.f3646"
"29659789","Bipolar disorder in primary care: a qualitative study of clinician and patient experiences with diagnosis and treatment","Cerimele JM, Fortney JC, Pyne JM, Curran GM.","Fam Pract. 2019 Jan 25;36(1):32-37. doi: 10.1093/fampra/cmy019.","Cerimele JM","Fam Pract","2019","2018/04/17","PMC6346633","","10.1093/fampra/cmy019"
"25617252","Treatment moderators of child- and family-focused cognitive-behavioral therapy for pediatric bipolar disorder","Weinstein SM, Henry DB, Katz AC, Peters AT, West AE.","J Am Acad Child Adolesc Psychiatry. 2015 Feb;54(2):116-25. doi: 10.1016/j.jaac.2014.11.007. Epub 2014 Nov 22.","Weinstein SM","J Am Acad Child Adolesc Psychiatry","2015","2015/01/25","PMC4306810","NIHMS644544","10.1016/j.jaac.2014.11.007"
"22193537","Antiepileptic drugs for bipolar disorder and the risk of suicidal behavior: a 30-year observational study","Leon AC, Solomon DA, Li C, Fiedorowicz JG, Coryell WH, Endicott J, Keller MB.","Am J Psychiatry. 2012 Mar;169(3):285-91. doi: 10.1176/appi.ajp.2011.11060948.","Leon AC","Am J Psychiatry","2012","2011/12/24","PMC3643204","NIHMS460983","10.1176/appi.ajp.2011.11060948"
"27567973","Mediators in the randomized trial of Child- and Family-Focused Cognitive-Behavioral Therapy for pediatric bipolar disorder","MacPherson HA, Weinstein SM, Henry DB, West AE.","Behav Res Ther. 2016 Oct;85:60-71. doi: 10.1016/j.brat.2016.08.014. Epub 2016 Aug 18.","MacPherson HA","Behav Res Ther","2016","2016/08/29","PMC5071888","NIHMS813152","10.1016/j.brat.2016.08.014"
"21850462","Early detection and intervention in bipolar affective disorder: targeting the development of the disorder","Howes OD, Falkenberg I.","Curr Psychiatry Rep. 2011 Dec;13(6):493-9. doi: 10.1007/s11920-011-0229-8.","Howes OD","Curr Psychiatry Rep","2011","2011/08/19","PMC3836252","EMS54185","10.1007/s11920-011-0229-8"
"31948489","Psychotropic medication non-adherence and its associated factors among patients with major psychiatric disorders: a systematic review and meta-analysis","Semahegn A, Torpey K, Manu A, Assefa N, Tesfaye G, Ankomah A.","Syst Rev. 2020 Jan 16;9(1):17. doi: 10.1186/s13643-020-1274-3.","Semahegn A","Syst Rev","2020","2020/01/18","PMC6966860","","10.1186/s13643-020-1274-3"
"17111063","[Psychoeducational and cognitive behavioral treatments of bipolar disorder]","Khazaal Y, Preisig M, Zullino DF.","Sante Ment Que. 2006 Spring;31(1):125-43. doi: 10.7202/013689ar.","Khazaal Y","Sante Ment Que","2006","2006/11/18","","","10.7202/013689ar"
"25093469","Risk of suicidal behavior with antidepressants in bipolar and unipolar disorders","Leon AC, Fiedorowicz JG, Solomon DA, Li C, Coryell WH, Endicott J, Fawcett J, Keller MB.","J Clin Psychiatry. 2014 Jul;75(7):720-7. doi: 10.4088/JCP.13m08744.","Leon AC","J Clin Psychiatry","2014","2014/08/06","PMC4142755","NIHMS620842","10.4088/JCP.13m08744"
"27995674","Cognitive Analytic Therapy for Bipolar Disorder: A Pilot Randomized Controlled Trial","Evans M, Kellett S, Heyland S, Hall J, Majid S.","Clin Psychol Psychother. 2017 Jan;24(1):22-35. doi: 10.1002/cpp.2065. Epub 2016 Dec 20.","Evans M","Clin Psychol Psychother","2017","2016/12/21","","","10.1002/cpp.2065"
"23046785","Family functioning and the course of adolescent bipolar disorder","Sullivan AE, Judd CM, Axelson DA, Miklowitz DJ.","Behav Ther. 2012 Dec;43(4):837-47. doi: 10.1016/j.beth.2012.04.005. Epub 2012 Apr 24.","Sullivan AE","Behav Ther","2012","2012/10/11","PMC3500638","NIHMS413273","10.1016/j.beth.2012.04.005"
"28894008","Genetic disruption of ankyrin-G in adult mouse forebrain causes cortical synapse alteration and behavior reminiscent of bipolar disorder","Zhu S, Cordner ZA, Xiong J, Chiu CT, Artola A, Zuo Y, Nelson AD, Kim TY, Zaika N, Woolums BM, Hess EJ, Wang X, Chuang DM, Pletnikov MM, Jenkins PM, Tamashiro KL, Ross CA.","Proc Natl Acad Sci U S A. 2017 Sep 26;114(39):10479-10484. doi: 10.1073/pnas.1700689114. Epub 2017 Sep 11.","Zhu S","Proc Natl Acad Sci U S A","2017","2017/09/13","PMC5625892","","10.1073/pnas.1700689114"
"31744781","Diabetes mellitus risk for 102 drugs and drug combinations used in patients with bipolar disorder","Nestsiarovich A, Kerner B, Mazurie AJ, Cannon DC, Hurwitz NG, Zhu Y, Nelson SJ, Oprea TI, Crisanti AS, Tohen M, Perkins DJ, Lambert CG.","Psychoneuroendocrinology. 2020 Feb;112:104511. doi: 10.1016/j.psyneuen.2019.104511. Epub 2019 Nov 9.","Nestsiarovich A","Psychoneuroendocrinology","2020","2019/11/21","","","10.1016/j.psyneuen.2019.104511"
