index	name	author	DOI	base
50	Suicide ideation as a predictor of treatment outcomes in cognitive-behavioral therapy for unipolar mood disorders/ La ideación suicida como predictor de los resultados del tratamiento en terapia cognitivo-conductual para los trastornos del estado de ánimo unipolares	Von Brachel, Ruth; Teismann, Tobias; Feider, Lisa; Margraf, Jürgen	10.1016/j.ijchp.2018.09.002	bvs
51	Decision-making ability in psychosis: a systematic review and meta-analysis of the magnitude, specificity and correlates of impaired performance on the Iowa and Cambridge Gambling Tasks.	Woodrow, Amanda; Sparks, Sarah; Bobrovskaia, Valeria; Paterson, Charlotte; Murphy, Philip; Hutton, Paul	10.1017/S0033291718002660	bvs
52	The Role of Self-Esteem in Depression: A Longitudinal Study.	Hilbert, Sven; Goerigk, Stephan; Padberg, Frank; Nadjiri, Annekatrin; Übleis, Aline; Jobst, Andrea; Dewald-Kaufmann, Julia; Falkai, Peter; Bühner, Markus; Naumann, Felix; Sarubin, Nina	10.1017/S1352465818000243	bvs
53	Single-Session Mobile-Augmented Intervention in Serious Mental Illness: A Three-Arm Randomized Controlled Trial.	Depp, Colin A; Perivoliotis, Dimitri; Holden, Jason; Dorr, Jennifer; Granholm, Eric L	10.1093/schbul/sby135	bvs
54	[Supervised off-label prescribing of methylphenidate in adult ADHD]./ Prescriptions hors AMM supervisées de méthylphénidate dans le TDAH de l'adulte.	Carton, L; Dondaine, T; Deheul, S; Marquié, C; Brigadeau, F; Amad, A; Devos, D; Danel, T; Bordet, R; Cottencin, O; Gautier, S; Ménard, O	10.1016/j.encep.2018.05.008	bvs
55	Effectiveness and Cognitive Changes With Ultrabrief Right Unilateral and Other Forms of Electroconvulsive Therapy in the Treatment of Mania.	Wong, Vincent Khung Hoon; Tor, Phern Chern; Martin, Donel M; Mok, Yee Ming; Loo, Colleen	10.1097/YCT.0000000000000519	bvs
56	Genetics of response to cognitive behavior therapy in adults with major depression: a preliminary report.	Andersson, Evelyn; Crowley, James J; Lindefors, Nils; Ljótsson, Brjánn; Hedman-Lagerlöf, Erik; Boberg, Julia; El Alaoui, Samir; Karlsson, Robert; Lu, Yi; Mattheisen, Manuel; Kähler, Anna K; Svanborg, Cecilia; Mataix-Cols, David; Mattsson, Simon; Forsell, Erik; Kaldo, Viktor; Schalling, Martin; Lavebratt, Catharina; Sullivan, Patrick F; Rück, Christian	10.1038/s41380-018-0289-9	bvs
57	Analyzing test batteries in animal models of psychopathology with multivariate analysis of variance (MANOVA): One possible approach to increase external validity.	Stukalin, Yelena; Einat, Haim	10.1016/j.pbb.2017.11.003	bvs
58	Rise and shine: A treatment experiment testing a morning routine to decrease subjective sleep inertia in insomnia and bipolar disorder.	Kaplan, Katherine A; Talavera, David C; Harvey, Allison G	10.1016/j.brat.2018.10.009	bvs
59	Long-acting injectable antipsychotics as maintenance treatments for bipolar disorder-A critical review of the evidence.	Boyce, Philip; Irwin, Lauren; Morris, Grace; Hamilton, Amber; Mulder, Roger; Malhi, Gin S; Porter, Richard J	10.1111/bdi.12698	bvs
60	A Focused Review on the Treatment of Pediatric Patients with Atypical Antipsychotics.	Lee, Esther S; Vidal, Carol; Findling, Robert L	10.1089/cap.2018.0037	bvs
61	Smokers with bipolar disorder, other affective disorders, and no mental health conditions: Comparison of baseline characteristics and success at quitting in a large 12-month behavioral intervention randomized trial.	Heffner, Jaimee L; Mull, Kristin E; Watson, Noreen L; McClure, Jennifer B; Bricker, Jonathan B	10.1016/j.drugalcdep.2018.08.034	bvs
62	Management of Post-Traumatic Nightmares: a Review of Pharmacologic and Nonpharmacologic Treatments Since 2013.	Waltman, Scott H; Shearer, David; Moore, Bret A	10.1007/s11920-018-0971-2	bvs
63	Neurocognitive effects of six ketamine infusions and the association with antidepressant response in patients with unipolar and bipolar depression.	Zhou, Yanling; Zheng, Wei; Liu, Weijian; Wang, Chengyu; Zhan, Yanni; Li, Hanqiu; Chen, Lijian; Li, Mingding; Ning, Yuping	10.1177/0269881118798614	bvs
64	Effect of action-based cognitive remediation on cognition and neural activity in bipolar disorder: study protocol for a randomized controlled trial.	Ott, Caroline V; Vinberg, Maj; Bowie, Christopher R; Christensen, Ellen Margrethe; Knudsen, Gitte M; Kessing, Lars V; Miskowiak, Kamilla W	10.1186/s13063-018-2860-8	bvs
65	Towards a biomarker model for cognitive improvement: No change in memory-related prefrontal engagement following a negative cognitive remediation trial in bipolar disorder.	Macoveanu, Julian; Demant, Kirsa M; Vinberg, Maj; Siebner, Hartwig R; Kessing, Lars V; Miskowiak, Kamilla W	10.1177/0269881118783334	bvs
66	Symptom Dimensions and Trajectories of Functioning Among Bipolar Youth: A Cluster Analysis.	Peters, Amy T; Weinstein, Sally M; Isaia, Ashley; VAN Meter, Anna; Zulauf, Courtney A; West, Amy E	10.1097/PRA.0000000000000307	bvs
67	Is it possible for people with severe mental illness to sit less and move more? A systematic review of interventions to increase physical activity or reduce sedentary behaviour.	Ashdown-Franks, Garcia; Williams, Julie; Vancampfort, Davy; Firth, Joseph; Schuch, Felipe; Hubbard, Kathryn; Craig, Tom; Gaughran, Fiona; Stubbs, Brendon	10.1016/j.schres.2018.06.058	bvs
68	Statins and cognition in late-life bipolar disorder.	Rej, Soham; Schulte, Sarah Waters; Rajji, Tarek K; Gildengers, Ariel G; Miranda, Dielle; Menon, Mahesh; Butters, Meryl A; Mulsant, Benoit H	10.1002/gps.4956	bvs
69	Long-term Sustained Cognitive Benefits of Vagus Nerve Stimulation in Refractory Depression.	Desbeaumes Jodoin, Véronique; Richer, François; Miron, Jean-Philippe; Fournier-Gosselin, Marie-Pierre; Lespérance, Paul	10.1097/YCT.0000000000000502	bvs
70	Autism Spectrum Disorder: Classification, diagnosis and therapy.	Sharma, Samata R; Gonda, Xenia; Tarazi, Frank I	10.1016/j.pharmthera.2018.05.007	bvs
71	A mania-related memory bias is associated with risk for relapse in bipolar disorder<sup/>.	Meyer, Thomas D; Hautzinger, Martin; Bauer, Isabelle E	10.1016/j.jad.2018.04.044	bvs
72	Effectiveness of preventive cognitive therapy while tapering antidepressants versus maintenance antidepressant treatment versus their combination in prevention of depressive relapse or recurrence (DRD study): a three-group, multicentre, randomised controlled trial.	Bockting, Claudi L H; Klein, Nicola S; Elgersma, Hermien J; van Rijsbergen, Gerard D; Slofstra, Christien; Ormel, Johan; Buskens, Erik; Dekker, Jack; de Jong, Peter J; Nolen, Willem A; Schene, Aart H; Hollon, Steven D; Burger, Huibert	10.1016/S2215-0366(18)30100-7	bvs
73	Transdiagnostic and diagnosis-specific dynamic functional connectivity anchored in the right anterior insula in major depressive disorder and bipolar depression.	Pang, Yajing; Chen, Heng; Wang, Yifeng; Long, Zhiliang; He, Zongling; Zhang, Huangbin; Liao, Wei; Cui, Qian; Chen, Huafu	10.1016/j.pnpbp.2018.03.020	bvs
74	Clinical and cost-effectiveness of an intervention for reducing cholesterol and cardiovascular risk for people with severe mental illness in English primary care: a cluster randomised controlled trial.	Osborn, David; Burton, Alexandra; Hunter, Rachael; Marston, Louise; Atkins, Lou; Barnes, Thomas; Blackburn, Ruth; Craig, Thomas; Gilbert, Hazel; Heinkel, Samira; Holt, Richard; King, Michael; Michie, Susan; Morris, Richard; Morris, Steve; Nazareth, Irwin; Omar, Rumana; Petersen, Irene; Peveler, Robert; Pinfold, Vanessa; Walters, Kate	10.1016/S2215-0366(18)30007-5	bvs
75	Towards high-quality, useful practice guidelines for child and youth mental health disorders: protocol for a systematic review and consensus exercise.	Bennett, Kathryn; Duda, Stephanie; Brouwers, Melissa; Szatmari, Peter; Newton, Amanda; McLennan, John; Sundar, Purnima; Cleverley, Kristin; Charach, Alice; Henderson, Joanna; Courtney, Darren; Rice, Maureen	10.1136/bmjopen-2017-018053	bvs
76	Glycogen synthase kinase-3ß activity and cognitive functioning in patients with bipolar I disorder.	Munkholm, Klaus; Miskowiak, Kamilla Woznica; Jacoby, Anne Sophie; Vinberg, Maj; Leme Talib, Leda; Gattaz, Wagner Farid; Kessing, Lars Vedel	10.1016/j.euroneuro.2018.01.008	bvs
77	Prevalence of cognitive impairment in major depression and bipolar disorder.	Douglas, Katie M; Gallagher, Peter; Robinson, Lucy J; Carter, Janet D; McIntosh, Virginia Vw; Frampton, Christopher Ma; Watson, Stuart; Young, Allan H; Ferrier, I Nicol; Porter, Richard J	10.1111/bdi.12602	bvs
78	Memory performance predicts response to psychotherapy for depression in bipolar disorder: A pilot randomized controlled trial with exploratory functional magnetic resonance imaging.	Deckersbach, Thilo; Peters, Amy T; Shea, Conor; Gosai, Aishwarya; Stange, Jonathan P; Peckham, Andrew D; Ellard, Kristen K; Otto, Michael W; Rauch, Scott L; Dougherty, Darin D; Nierenberg, Andrew A	10.1016/j.jad.2017.12.041	bvs
79	A Brief Exposure-Based Treatment vs Cognitive Processing Therapy for Posttraumatic Stress Disorder: A Randomized Noninferiority Clinical Trial.	Sloan, Denise M; Marx, Brian P; Lee, Daniel J; Resick, Patricia A	10.1001/jamapsychiatry.2017.4249	bvs
80	Non-Suicidal Self-Injury in Pediatric Bipolar Disorder: Clinical Correlates and Impact on Psychosocial Treatment Outcomes.	MacPherson, Heather A; Weinstein, Sally M; West, Amy E	10.1007/s10802-017-0331-4	bvs
81	Proinflammatory Cytokines, Mood, and Sleep in Interepisode Bipolar Disorder and Insomnia: A Pilot Study With Implications for Psychosocial Interventions.	Dolsen, Michael R; Soehner, Adriane M; Harvey, Allison G	10.1097/PSY.0000000000000529	bvs
82	[IDEM-depression: Characteristics and evaluation of an open group that combines psychoeducation and cognitive-behavior therapy]./ IDEM-dépression : caractéristiques et évaluation d'un groupe ouvert combinant psycho-éducation et thérapie cognitivo-comportementale.	Weiner, L; Garcia-Krafes, E; Garcia, S; Berthomier, C; Morali, A; Metzger, J-Y; Weibel, S; Javelot, H; Bertschy, G	10.1016/j.encep.2016.09.004	bvs
83	Thioredoxin is not a marker for treatment-resistance depression but associated with cognitive function: An rTMS study.	Aydin, Efruz Pirdogan; Genç, Abdullah; Dalkiran, Mihriban; Uyar, Ece Türkyilmaz; Deniz, Ipek; Özer, Ömer Akil; Karamustafalioglu, Kayihan Oguz	10.1016/j.pnpbp.2017.04.025	bvs
84	A randomized clinical trial of adjunctive ketamine anesthesia in electro-convulsive therapy for depression.	Zhang, Minling; Rosenheck, Robert; Lin, Xiaoming; Li, Qirong; Zhou, Yanling; Xiao, Yunshan; Huang, Xiong; Fan, Ni; He, Hongbo	10.1016/j.jad.2017.11.034	bvs
85	Stabilising sleep for patients admitted at acute crisis to a psychiatric hospital (OWLS): an assessor-blind pilot randomised controlled trial.	Sheaves, Bryony; Freeman, Daniel; Isham, Louise; McInerney, Josephine; Nickless, Alecia; Yu, Ly-Mee; Rek, Stephanie; Bradley, Jonathan; Reeve, Sarah; Attard, Caroline; Espie, Colin A; Foster, Russell; Wirz-Justice, Anna; Chadwick, Eleanor; Barrera, Alvaro	10.1017/S0033291717003191	bvs
86	Exploratory study of imagery rescripting without focusing on early traumatic memories for major depressive disorder.	Yamada, Fuminori; Hiramatsu, Yoichi; Murata, Tomokazu; Seki, Yoichi; Yokoo, Mizue; Noguchi, Remi; Shibuya, Takayuki; Tanaka, Mari; Takanashi, Rieko; Shimizu, Eiji	10.1111/papt.12164	bvs
87	Interaction between pre-treatment drug use and heterogeneity of psychiatric diagnosis predicts outcomes in outpatients with co-occurring disorders.	Oluwoye, Oladunni; Hirchak, Katherine; Leickly, Emily; Skalisky, Jordan; McPherson, Sterling; Srebnik, Debra; Roll, John M; Ries, Richard K; McDonell, Michael G	10.1016/j.psychres.2017.11.070	bvs
88	Usefulness of the Montreal Cognitive Assessment (MoCA) to monitor cognitive impairments in depressed patients receiving electroconvulsive therapy.	Moirand, Rémi; Galvao, Filipe; Lecompte, Maxime; Poulet, Emmanuel; Haesebaert, Frédéric; Brunelin, Jerome	10.1016/j.psychres.2017.11.022	bvs
89	Randomized Trial of Interventions for Smoking Cessation Among Medicaid Beneficiaries With Mental Illness.	Brunette, Mary F; Pratt, Sarah I; Bartels, Stephen J; Scherer, Emily A; Sigmon, Stacey C; Ferron, Joelle C; Santos, Meghan; Williams, Gail E; Kosydar, Samuel; Wolfe, Rosemarie S; Lotz, Doris; Capuchino, Kelley	10.1176/appi.ps.201700245	bvs
