DocumentType,DocumentTitle,Abstract,Author,Editor,BookAuthors,PublicationName,Publisher,PublicationYear,PrintedPublicationYear,PublisherCity,Volume,Issue,StartPage,EndPage,BookTitle,BookSeriesTitle,Descriptors,PMID,ID,Correspondence,ISSN,ISBN,DOI
"Review-Book","Review of Cognitive-behavioral therapy for bipolar disorder.","Reviews the book, Cognitive-Behavioral Therapy for Bipolar Disorder by Monica Ramirez-Basco and John A. Rush (see record 1996-98072-000). The volume is structured as a treatment manual. Cognitive-behavioral approaches to the maintenance treatment of bipolar disorder, an overview of the diagnosis and prognosis of bipolar disorder, and common psychopharmacological approaches are described in a straight forward and reasonably non-technical manner. This volume should be on the required reading list for any psychiatrist or psychotherapist providing treatment to people with bipolar disorder. In addition, psychosocial rehabilitation providers will gain much insight and learn cognitive behavioral strategies that easily can be applied in a wide range of rehabilitation settings. While the book is not designed as a lay persons 'self help' volume, family members and consumers with high school literacy or above, and knowledge of the topic will be able to understand and benefit from this book. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Zipple, Anthony","","","","International Association of Psychosocial Rehabilitation Services and Department of Rehabilitation Counseling, Sargent College of Allied Health Professions, Boston University","1997","","US","20","3","82","83","","","*Bipolar Disorder;  *Cognitive Behavior Therapy; Psychopharmacology; Psychosocial Rehabilitation","","2013-12542-001","","1559-3126(Electronic);1095-158X(Print)","","https://doi.org/10.1037/h0095354"
"Journal Article","Patients' expectancies, the alliance in pharmacotherapy, and treatment outcomes in bipolar disorder.","Bipolar disorder is characterized by a chronic and fluctuating course of illness. Although nonadherence to pharmacotherapy is a frequent problem in the disorder, few studies have systematically explored psychosocial factors related to treatment discontinuation. Previous research with depressed patients receiving psychotherapy has suggested that expectancies for improvement are related to treatment outcomes and that the therapeutic alliance may partially mediate this relationship. The current study found evidence for a similar relationship between patients' initial expectancies for improvement, patient and doctor-rated alliance, and long-term outcomes in bipolar patients treated with pharmacotherapy for up to 28 months following an acute episode. The results highlight the need for the assessment of expectancies and alliance in bipolar treatment and suggest possible targets for psychosocial interventions. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Gaudiano, Brandon A.;Miller, Ivan W.","","","Journal of Consulting and Clinical Psychology","American Psychological Association","2006","","US","74","4","671","676","","","*Bipolar Disorder;  *Drug Therapy;  *Expectations;  *Psychotherapy;  *Treatment Outcomes; Psychosocial Factors; Therapeutic Alliance","16881774","2006-09621-004","Gaudiano, Brandon A.: Psychosocial Research Program, Butler Hospital, 345 Blackstone Boulevard, Providence, RI, US, 02906, brandon_gaudiano@brown.edu","1939-2117(Electronic);0022-006X(Print)","","https://doi.org/10.1037/0022-006X.74.4.671"
"Journal Article","Bipolar disorder and family communication: Effects of a psychoeducational treatment program.","Family psychoeducational programs are efficacious adjuncts to pharmacotherapy for patients with schizophrenic and bipolar disorders, but little is known about what these programs change about families. The authors assessed changes in face-to-face interactional behavior over 1 year among families of bipolar patients who received a 9-month family-focused psychoeducational therapy (FFT; n = 22) or crisis management with naturalistic follow-up (CMNF, n = 22), both administered with maintenance pharmacotherapy. Members of families who received FFT showed more positive nonverbal interactional behavior during a 1-year posttreatment problem-solving assessment than families who received CMNF, although no corresponding decreases were seen in negative interactional behaviors. The positive effect of family treatment on patients' symptom trajectories over 1 year was partially mediated by increases in patients' positive nonverbal interactional behaviors during this same interval. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","Simoneau, Teresa L.;Miklowitz, David J.;Richards, Jeffrey A.;Saleem, Rakhshanda;George, Elizabeth L.","","","Journal of Abnormal Psychology","American Psychological Association","1999","","US","108","4","588","597","","","*Bipolar Disorder;  *Family Members;  *Family Relations;  *Family Therapy; Psychoeducation","10609423","1999-01906-005","","1939-1846(Electronic);0021-843X(Print)","","https://doi.org/10.1037/0021-843X.108.4.588"
"Journal Article","Observed emotional involvement and overinvolvement in families of patients with bipolar disorder.","Many studies have examined the construct validity of the criticism component of expressed emotion, but little work has been done on clarifying the emotional overinvolvement (EOI) construct. In a sample of 115 recently episodic patients with bipolar disorder, the authors of the present study examined the construct validity of an observational coding system for both appropriate and inappropriate emotional involvement that permitted separate ratings for relatives' intrusiveness, self-sacrificing behaviors, and distress related to the patient's well-being. Findings support the measure's reliability and convergent validity and are moderately supportive of the measure's discriminant validity. Results also suggest that Camberwell Family Interview (C. E. Vaughn & J. P. Leff, 1976) EOI ratings do not discriminate among the different dimensions of the emotional involvement construct (or their appropriateness or inappropriateness) as revealed in laboratory-based interactions. The findings suggest that clinicians working with such families might consider differentiating among the various ways in which family members are involved with the patient and helping them learn to judge under what circumstances such involvement is appropriate and inappropriate. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Fredman, Steffany J.;Baucom, Donald H.;Miklowitz, David J.;Stanton, Susan E.","","","Journal of Family Psychology","American Psychological Association","2008","","US","22","1","71","79","","","*Behavioral Assessment;  *Bipolar Disorder;  *Criticism;  *Expressed Emotion;  *Family Conflict; Construct Validity; Family Therapy; Test Validity","18266534","2008-01362-008","Fredman, Steffany J.: National Center for Posttraumatic Stress Disorder--Women's Health Sciences Division (116B-3), Veterans Affairs Boston Healthcare System, 150 South Huntington Avenue, Boston, MA, US, 02130, fredman@email.unc.edu","1939-1293(Electronic);0893-3200(Print)","","https://doi.org/10.1037/0893-3200.22.1.71"
"Journal Article","First person account: Family psychoeducation can change lives.","This article is a first person account from a daughter about her mothers mental illness. She discusses how psychoeducation and knowing how to have a support system helped her mother deal with her diagnosis of schizophrenia, bipolar disorder, and even schizoaffective disorder. This psychoeducation also, in turn, helped the family in general in coping with their mothers illnesses. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Sundquist, Amy","","","Schizophrenia Bulletin","National Institute of Mental Health","1999","","US","25","3","619","621","","","*Bipolar Disorder;  *Family Members;  *Psychoeducation;  *Schizophrenia;  *Social Support; Coping Behavior; Mothers; Schizoaffective Disorder","10478794","2009-05162-001","Sundquist, Amy: 5-43 47th Ave., #4, Long Island City, NY, US, 11101","1745-1701(Electronic);0586-7614(Print)","","https://doi.org/10.1093/oxfordjournals.schbul.a033406"
"Journal Article","Expressed emotion and attributions in the relatives of bipolar patients: An analysis of problem-solving interactions.","Among the relatives of schizophrenic and depressed patients, high expressed emotion (EE) attitudes are associated with 'controllability attributions' about the causes of patients' symptoms and problem behaviors. However, previous studies have judged EE attitudes and causal attributions from the same assessment measure, the Camberwell Family Interview (CFI; C. E. Vaughn and J. P. Leff, 1976). The authors examined causal attributions among relatives of 47 bipolar patients, as spontaneously expressed to patients in family problem-solving interactions during a postillness period. Relatives rated high EE during the patients' acute episode (based on the CFI) were more likely than relatives rated low EE to spontaneously attribute patients' symptoms and negative behaviors to personal and controllable factors during the postillness interactional assessment. Thus, the EE-attribution linkage extends to the relatives of bipolar patients evaluated during a family interaction task. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","Wendel, Jennifer S.;Miklowitz, David J.;Richards, Jeffrey A.;George, Elizabeth L.","","","Journal of Abnormal Psychology","American Psychological Association","2000","","US","109","4","792","796","","","*Attribution;  *Bipolar Disorder;  *Expressed Emotion;  *Family Relations;  *Problem Solving; Family Members","11196006","2000-12687-027","","1939-1846(Electronic);0021-843X(Print)","","https://doi.org/10.1037/0021-843X.109.4.792"
"Journal Article","Combined Psychotherapy and Pharmacotherapy for Mood and Anxiety Disorders in Adults: Review and Analysis.","Studies suggest a complex relationship between cognitive-behavior therapy (CBT) and pharmacotherapy for the combined treatment of mood disorders and anxiety disorders. Combined treatment for depression may have beneficial effects when applied to patients with chronic depression and in cases to prevent relapse. In bipolar disorder there is evidence for a strong effect of psychosocial treatment on the course of the disorder. In the anxiety disorders, there are some benefits in the short term, but combined treatment may limit the maintenance of treatment gains offered by CBT alone. Combined treatment should not be considered the default treatment for mood and anxiety disorders, with the possible exception of bipolar disorder. Instead, decisions whether combined treatment is worth the added cost and effort should be made in relation to the disorder under treatment, the level of severity or chronicity, and the stage of treatment (e.g., acute vs. relapse prevention). (PsycInfo Database Record (c) 2021 APA, all rights reserved)","Otto, Michael W.;Smits, Jasper A. J.;Reese, Hannah E.","","","Clinical Psychology: Science and Practice","Blackwell Publishing","2005","","United Kingdom","12","1","72","86","","","*Affective Disorders;  *Anxiety Disorders;  *Drug Therapy;  *Interdisciplinary Treatment Approach;  *Psychotherapy; Bipolar Disorder; Chronicity (Disorders); Cognitive Behavior Therapy; Major Depression; Relapse Prevention; Severity (Disorders)","","2005-01375-010","Otto, Michael W.: Boston University Center for Anxiety and Related Disorders, 648 Beacon Street, Sixth Floor, Boston, MA, US, 02215, mwotto@bu.edu","1468-2850(Electronic);0969-5893(Print)","","https://doi.org/10.1093/clipsy.bpi009"
"Review-Book","Review of Cognitive-behavioral therapy for bipolar disorder and Cognitive therapy for delusions, voices, and paranoia.","Reviews the books, Cognitive-behavioral therapy for bipolar disorder by Monica Ramirez Basco and A. John Russo (see record 1996-98072-000) and Cognitive therapy for delusions, voices, and paranoia by Paul Chadwick, Max Birchwood, and Peter Trower (see record 1996-97983-000). The mental health service system is largely based on the oft encountered, often implicit, belief among professionals that, since Schizophrenia, Bipolar Disorder, and other severe forms of mental illnesses have been shown to have a biological basis, there is no point in providing psychotherapy for individuals afflicted with these disorders. These two books represent a welcome exception to this situation. While different in many ways, including their treatment goals and many of their theoretical underpinnings, both books represent an attempt to allow the severely mentally ill to benefit from techniques which have been demonstrated to be effective for less severely disturbed populations. Both approaches illustrate ways that the severely mentally ill may be able to be helped through psychosocial intervention, and both acknowledge the importance of client collaboration in treatment, a consideration easy to overlook when the client has a severe mental illness. The books are also similar in that neither one offers sufficient empirical data to support the effectiveness of its approach. The two books reviewed here represent, in the reviewer's opinion, significant contributions to the field of psychotherapy. Even if the clinician takes issue with the techniques presented or with the theoretical assumptions underlying the approaches, he/she should come away with a renewed appreciation of the importance of including the client in treatment planning, even if the client has a severe mental illness. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","Malouf, John","","","","Division of Psychotherapy (29), American Psychological Association","1996","","US","33","4","636","637","","","*Cognitive Behavior Therapy;  *Cognitive Therapy; Auditory Hallucinations; Bipolar Disorder; Delusions; Paranoia; Schizophrenia","","2009-17397-001","","1939-1536(Electronic);0033-3204(Print)","","https://doi.org/10.1037/h0092376"
"Journal Article","The impetus of recovery.","One of my strongest strategies for staying well is really knowing myself. I can see and understand my early symptoms and what to do to keep them from rising in degree. The first thing I do is talk to a trusted natural support in my life. Then, I call my therapist who I trust to decide together what I need to do to cope. This process is not always easy. This has taken me years to have this kind of insight. It takes some bumps and turns in life before you really know what impact it's having on your life. That is if you want something out of life. This is what rehabilitation did for me. It gave me the opportunity to learn about and to re-experience having a valued role. So, my path has been a process of learning how to mix all supports and resources together. This includes family, work, self-care, therapy, medication, and love. For me this is the impetus of recovery. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Brown, Keysha M.","","","Psychiatric Rehabilitation Journal","International Association of Psychosocial Rehabilitation Services and Department of Rehabilitation Counseling, Sargent College of Health and Rehabilitation Services, Boston University","2009","","US","33","1","60","61","","","*Recovery (Disorders);  *Rehabilitation; Coping Behavior; Symptoms","19592383","2009-11178-011","Brown, Keysha M.: Elmwood Transitional Residence, Rochester Psychiatric Center, 1111 Elmwood Ave, Rochester, NY, US, 14620","1559-3126(Electronic);1095-158X(Print)","","https://doi.org/10.2975/33.1.2009.60.61"
"Journal Article","Coroner’s inquest into an Australian television anchorwoman’s suicide: Implications for clinical practice and suicide prevention.","In 2010, a coroner’s inquest was held into the 2007 suicide of Ms. Charmaine Dragun, an Australian TV news anchorwoman. The main findings were that if Ms. Dragun had been diagnosed with bipolar II disorder and prescribed a mood stabilizer, her suicide could have been prevented; that the “cross-tapering” treatment by her psychiatrist and the clinical management by her health care professionals were inadequate; and that the incorporation of meditation and mindfulness in therapy was inappropriate. In this article, I examine the coroner’s findings and recommendations alongside the evidence tendered at the inquest. I also discuss (a) whether bipolar II disorder is under- or overdiagnosed; (b) the responses to the coroner’s findings on bipolar II disorder; (c) the impact of the coroner’s findings and recommendations on health care professionals and the public; (d) my personal reflections; and (e) my recommendations for making suicide prevention programs more effective: increased open-minded and respectful collaboration among professionals, the importance of educating legal professionals about the reality of clinical practice, and promoting recognized suicide prophylactic measures. For health care professionals worldwide, especially clinicians, this “Australian Story” provides important insights and lessons. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Khong, Belinda Siew Luan","","","The Humanistic Psychologist","Educational Publishing Foundation","2017","","US","45","1","23","48","","","*Bipolar Disorder;  *Diagnosis;  *Suicide;  *Suicide Prevention; Clinical Practice","","2016-49333-001","Khong, Belinda Siew Luan: Department of Psychology, Macquarie University, 67 Braeside Street, Wahroonga, NSW, Australia, 2076, bkhong@belindakhong.com","1547-3333(Electronic);0887-3267(Print)","","https://doi.org/10.1037/hum0000042"
"Journal Article","Preventing medical noncompliance in the outpatient treatment of bipolar affective disorders.","Evaluated the efficacy of a preventive compliance intervention based on cognitive therapy principles with 11 male and 17 female 24–60 yr old newly admitted lithium outpatients. Half of the Ss received standard medication clinic care; the rest also received the compliance intervention. Global medical regimen adherence at postintervention and at 3- and 6-mo follow-up assessments was assessed by self- and informant reports, physicians' ratings, chart notations, and serum lithium blood levels. Results show that the intervention significantly enhanced compliance at both postintervention and 6-mo follow-up assessment. In addition, intervention Ss significantly less often terminated lithium against medical advice, were hospitalized during the course of the study, or had noncompliance-precipitated episodes. (17 ref) (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Cochran, Susan D.","","","Journal of Consulting and Clinical Psychology","American Psychological Association","1984","","US","52","5","873","878","","","*Bipolar Disorder;  *Cognitive Therapy;  *Drug Therapy;  *Lithium; Treatment Compliance","6501672","1985-04765-001","","1939-2117(Electronic);0022-006X(Print)","","https://doi.org/10.1037/0022-006X.52.5.873"
"Journal Article","Family functioning and mood disorders: A comparison between patients with major depressive disorder and bipolar I disorder.","Within a sample of patients with major depressive disorder (MDD; n = 121) and bipolar affective disorder (BPAD; n = 69), the authors examined (a) diagnostic differences in family functioning at acute episode, (b) diagnostic differences in family functioning at episode recovery, (c) within-group changes in family functioning from acute episode to recovery, and (d) whether within-group changes from acute episode to recovery varied by diagnosis. Using a multidimensional model, the authors evaluated interviewer, patient, and family ratings. Overall, patients with MDD and BPAD evidenced similar levels of family impairment at acute episode and recovery. Generally, patients in both groups experienced improvement in family functioning over time, yet mean scores at recovery continued to range from fair to poor. Although certain specific differences emerged, diagnostic groups appeared to be more similar than different in level and pattern of family functioning. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Weinstock, Lauren M.;Keitner, Gabor I.;Ryan, Christine E.;Solomon, David A.;Miller, Ivan W.","","","Journal of Consulting and Clinical Psychology","American Psychological Association","2006","","US","74","6","1192","1202","","","*Bipolar Disorder;  *Family Relations;  *Major Depression; Bipolar I Disorder","17154748","2006-22003-020","Weinstock, Lauren M.: Psychosocial Research Program, Butler Hospital, 345 Blackstone Boulevard, Providence, RI, US, 02906, Lauren_Weinstock@brown.edu","1939-2117(Electronic);0022-006X(Print)","","https://doi.org/10.1037/0022-006X.74.6.1192"
